,1,2,4,Cost,RT
1,128.0,128.0,128.0,34.64,16301.681333333332
2,128.0,128.0,320.0,36.52,12478.063222222221
3,128.0,128.0,512.0,38.84444444444445,11583.214777777777
4,128.0,128.0,704.0,40.68444444444445,11126.056555555553
5,128.0,128.0,896.0,41.38555555555556,10820.471888888887
6,128.0,128.0,1088.0,43.92444444444445,10711.316666666666
7,128.0,128.0,1280.0,43.46666666666667,10516.379444444443
8,128.0,128.0,1472.0,46.93333333333334,10510.988
9,128.0,128.0,1664.0,47.40111111111112,10420.012333333332
10,128.0,128.0,1856.0,50.52111111111112,10388.03322222222
11,128.0,128.0,2048.0,53.65111111111112,10358.389555555555
12,128.0,128.0,2240.0,52.7288888888889,10313.608666666665
13,128.0,128.0,2432.0,59.90111111111111,10330.54311111111
14,128.0,128.0,2624.0,63.031111111111116,10329.293444444444
15,128.0,128.0,2816.0,71.24444444444445,10468.27811111111
16,128.0,128.0,3008.0,63.839999999999996,10317.823999999999
17,128.0,320.0,128.0,34.88444444444444,14360.023111111112
18,128.0,320.0,320.0,36.76444444444444,10536.405
19,128.0,320.0,512.0,39.08888888888889,9641.556555555557
20,128.0,320.0,704.0,40.92888888888889,9184.398333333333
21,128.0,320.0,896.0,41.63000000000001,8878.813666666667
22,128.0,320.0,1088.0,44.16888888888889,8769.658444444443
23,128.0,320.0,1280.0,43.71111111111111,8574.721222222222
24,128.0,320.0,1472.0,47.177777777777784,8569.329777777777
25,128.0,320.0,1664.0,47.64555555555556,8478.35411111111
26,128.0,320.0,1856.0,50.76555555555556,8446.375
27,128.0,320.0,2048.0,53.89555555555556,8416.731333333333
28,128.0,320.0,2240.0,52.97333333333334,8371.950444444445
29,128.0,320.0,2432.0,60.14555555555555,8388.884888888888
30,128.0,320.0,2624.0,63.275555555555556,8387.635222222223
31,128.0,320.0,2816.0,71.4888888888889,8526.619888888888
32,128.0,320.0,3008.0,64.08444444444444,8376.165777777778
33,128.0,512.0,128.0,35.351111111111116,13859.664777777778
34,128.0,512.0,320.0,37.23111111111111,10036.046666666667
35,128.0,512.0,512.0,39.555555555555564,9141.198222222221
36,128.0,512.0,704.0,41.39555555555556,8684.039999999999
37,128.0,512.0,896.0,42.09666666666667,8378.455333333333
38,128.0,512.0,1088.0,44.63555555555556,8269.30011111111
39,128.0,512.0,1280.0,44.17777777777778,8074.362888888889
40,128.0,512.0,1472.0,47.64444444444446,8068.971444444444
41,128.0,512.0,1664.0,48.11222222222223,7977.995777777778
42,128.0,512.0,1856.0,51.232222222222234,7946.016666666667
43,128.0,512.0,2048.0,54.36222222222223,7916.3730000000005
44,128.0,512.0,2240.0,53.44000000000001,7871.592111111112
45,128.0,512.0,2432.0,60.61222222222223,7888.526555555556
46,128.0,512.0,2624.0,63.74222222222222,7887.2768888888895
47,128.0,512.0,2816.0,71.95555555555556,8026.261555555556
48,128.0,512.0,3008.0,64.55111111111111,7875.8074444444455
49,128.0,704.0,128.0,35.577777777777776,13648.870555555557
50,128.0,704.0,320.0,37.45777777777777,9825.252444444444
51,128.0,704.0,512.0,39.782222222222224,8930.404
52,128.0,704.0,704.0,41.62222222222222,8473.245777777776
53,128.0,704.0,896.0,42.32333333333334,8167.6611111111115
54,128.0,704.0,1088.0,44.86222222222222,8058.50588888889
55,128.0,704.0,1280.0,44.404444444444444,7863.568666666667
56,128.0,704.0,1472.0,47.87111111111112,7858.177222222223
57,128.0,704.0,1664.0,48.33888888888889,7767.201555555556
58,128.0,704.0,1856.0,51.45888888888889,7735.2224444444455
59,128.0,704.0,2048.0,54.588888888888896,7705.578777777779
60,128.0,704.0,2240.0,53.66666666666667,7660.797888888889
61,128.0,704.0,2432.0,60.83888888888889,7677.732333333334
62,128.0,704.0,2624.0,63.96888888888889,7676.482666666668
63,128.0,704.0,2816.0,72.18222222222221,7815.467333333334
64,128.0,704.0,3008.0,64.77777777777777,7665.013222222223
65,128.0,896.0,128.0,34.422222222222224,13524.814444444444
66,128.0,896.0,320.0,36.30222222222223,9701.196333333333
67,128.0,896.0,512.0,38.62666666666667,8806.347888888888
68,128.0,896.0,704.0,40.46666666666667,8349.189666666665
69,128.0,896.0,896.0,41.16777777777778,8043.6050000000005
70,128.0,896.0,1088.0,43.70666666666667,7934.449777777778
71,128.0,896.0,1280.0,43.24888888888889,7739.512555555555
72,128.0,896.0,1472.0,46.71555555555556,7734.121111111111
73,128.0,896.0,1664.0,47.18333333333333,7643.145444444444
74,128.0,896.0,1856.0,50.303333333333335,7611.166333333334
75,128.0,896.0,2048.0,53.43333333333334,7581.522666666667
76,128.0,896.0,2240.0,52.51111111111111,7536.741777777778
77,128.0,896.0,2432.0,59.68333333333334,7553.676222222222
78,128.0,896.0,2624.0,62.81333333333333,7552.426555555556
79,128.0,896.0,2816.0,71.02666666666666,7691.411222222222
80,128.0,896.0,3008.0,63.62222222222223,7540.957111111112
81,128.0,1088.0,128.0,35.808888888888895,13439.879111111111
82,128.0,1088.0,320.0,37.6888888888889,9616.261
83,128.0,1088.0,512.0,40.013333333333335,8721.412555555555
84,128.0,1088.0,704.0,41.85333333333334,8264.254333333332
85,128.0,1088.0,896.0,42.55444444444445,7958.669666666668
86,128.0,1088.0,1088.0,45.09333333333334,7849.514444444445
87,128.0,1088.0,1280.0,44.63555555555556,7654.577222222222
88,128.0,1088.0,1472.0,48.102222222222224,7649.185777777778
89,128.0,1088.0,1664.0,48.57000000000001,7558.2101111111115
90,128.0,1088.0,1856.0,51.690000000000005,7526.231000000001
91,128.0,1088.0,2048.0,54.82000000000001,7496.587333333334
