Performance_Constraint,BCR_disabled_RT,BCR_M/RT_RT,BCR_C/ERT_RT,BCR_MAX_RT,BCR_disabled_Cost,BCR_M/RT_Cost,BCR_C/ERT_Cost,BCR_MAX_Cost,BCR_disabled_Config,BCR_M/RT_Config,BCR_C/ERT_Config,BCR_MAX_Config,BCR_disabled_Iterations,BCR_M/RT_Iterations,BCR_C/ERT_Iterations,BCR_MAX_Iterations,BCR_threshold
1140.5278888888886,1136.2376666666664,1136.2376666666664,1136.2376666666664,1136.2376666666664,23.483333333333334,23.483333333333334,23.483333333333334,23.483333333333334,"{1: 896, 2: 1856}","{1: 896, 2: 1856}","{1: 896, 2: 1856}","{1: 896, 2: 1856}",3.0,3.0,3.0,8.0,0.2
1224.081508417508,1210.4893333333332,1210.4893333333332,1210.4893333333332,1210.4893333333332,20.36,20.36,20.36,20.36,"{1: 896, 2: 1280}","{1: 896, 2: 1280}","{1: 896, 2: 1280}","{1: 896, 2: 1280}",3.0,3.0,3.0,9.0,0.2
1307.6351279461276,1210.4893333333332,1210.4893333333332,1210.4893333333332,1210.4893333333332,20.36,20.36,20.36,20.36,"{1: 896, 2: 1280}","{1: 896, 2: 1280}","{1: 896, 2: 1280}","{1: 896, 2: 1280}",3.0,3.0,3.0,9.0,0.2
1391.188747474747,1379.6201111111109,1379.6201111111109,1379.6201111111109,1379.6201111111109,21.16444444444444,21.16444444444444,21.16444444444444,21.16444444444444,"{1: 704, 2: 1472}","{1: 704, 2: 1472}","{1: 704, 2: 1472}","{1: 704, 2: 1472}",3.0,3.0,3.0,7.0,0.2
1474.7423670033668,1411.034444444444,1411.034444444444,1411.034444444444,1411.034444444444,20.124444444444443,20.124444444444443,20.124444444444443,20.124444444444443,"{1: 704, 2: 1280}","{1: 704, 2: 1280}","{1: 704, 2: 1280}","{1: 704, 2: 1280}",3.0,3.0,3.0,8.0,0.2
1558.2959865319863,1553.2927777777772,1553.2927777777772,1553.2927777777772,1553.2927777777772,19.66222222222222,19.66222222222222,19.66222222222222,19.66222222222222,"{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}",3.0,3.0,3.0,9.0,0.2
1641.8496060606058,1553.2927777777772,1553.2927777777772,1553.2927777777772,1553.2927777777772,19.66222222222222,19.66222222222222,19.66222222222222,19.66222222222222,"{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}",3.0,3.0,3.0,9.0,0.2
1725.4032255892253,1553.2927777777772,1553.2927777777772,1553.2927777777772,1553.2927777777772,19.66222222222222,19.66222222222222,19.66222222222222,19.66222222222222,"{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}",3.0,3.0,3.0,9.0,0.2
1808.9568451178448,1553.2927777777772,1553.2927777777772,1553.2927777777772,1553.2927777777772,19.66222222222222,19.66222222222222,19.66222222222222,19.66222222222222,"{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}",3.0,3.0,3.0,9.0,0.2
1892.5104646464642,1553.2927777777772,1553.2927777777772,1553.2927777777772,1553.2927777777772,19.66222222222222,19.66222222222222,19.66222222222222,19.66222222222222,"{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}",3.0,3.0,3.0,9.0,0.2
1976.0640841750837,1553.2927777777772,1553.2927777777772,1553.2927777777772,1553.2927777777772,19.66222222222222,19.66222222222222,19.66222222222222,19.66222222222222,"{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}",3.0,3.0,3.0,9.0,0.2
2059.6177037037032,1553.2927777777772,1553.2927777777772,1553.2927777777772,1553.2927777777772,19.66222222222222,19.66222222222222,19.66222222222222,19.66222222222222,"{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}",3.0,3.0,3.0,9.0,0.2
2143.1713232323227,1553.2927777777772,1553.2927777777772,1553.2927777777772,1553.2927777777772,19.66222222222222,19.66222222222222,19.66222222222222,19.66222222222222,"{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}",3.0,3.0,3.0,9.0,0.2
2226.724942760942,1553.2927777777772,1553.2927777777772,1553.2927777777772,1553.2927777777772,19.66222222222222,19.66222222222222,19.66222222222222,19.66222222222222,"{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}",3.0,3.0,3.0,9.0,0.2
2310.2785622895617,1553.2927777777772,1553.2927777777772,1553.2927777777772,1553.2927777777772,19.66222222222222,19.66222222222222,19.66222222222222,19.66222222222222,"{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}","{1: 704, 2: 896}",3.0,3.0,3.0,9.0,0.2
