Budget,BCR_disabled_RT,BCR_RT/M_RT,BCR_ERT/C_RT,BCR_MAX_RT,BCR_disabled_Cost,BCR_RT/M_Cost,BCR_ERT/C_Cost,BCR_MAX_Cost,BCR_disabled_Config,BCR_RT/M_Config,BCR_ERT/C_Config,BCR_MAX_Config,BCR_disabled_Iterations,BCR_RT/M_Iterations,BCR_ERT/C_Iterations,BCR_MAX_Iterations,BCR_threshold
20.088888888888892,1352.7476666666664,1352.7476666666664,9412.33622222222,1352.7476666666662,19.897777777777776,19.897777777777776,20.088888888888892,19.897777777777776,"{1: 896, 2: 896}","{1: 896, 2: 896}","{1: 128, 2: 128}","{1: 896, 2: 896}",4.0,4.0,1.0,3.0,0.2
20.495028058361395,1210.489333333333,1210.489333333333,4129.614555555555,1210.489333333333,20.36,20.36,20.115555555555556,20.36,"{1: 896, 2: 1280}","{1: 896, 2: 1280}","{1: 896, 2: 128}","{1: 896, 2: 1280}",3.0,3.0,2.0,3.0,0.2
20.9011672278339,1210.489333333333,1210.489333333333,4129.614555555555,1210.489333333333,20.36,20.36,20.115555555555556,20.36,"{1: 896, 2: 1280}","{1: 896, 2: 1280}","{1: 896, 2: 128}","{1: 896, 2: 1280}",3.0,3.0,2.0,3.0,0.2
21.3073063973064,1210.489333333333,1210.489333333333,4129.614555555555,1210.489333333333,20.36,20.36,20.115555555555556,20.36,"{1: 896, 2: 1280}","{1: 896, 2: 1280}","{1: 896, 2: 128}","{1: 896, 2: 1280}",3.0,3.0,2.0,3.0,0.2
21.7134455667789,1179.0749999999998,1179.0749999999998,4129.614555555555,1179.0749999999998,21.4,21.4,20.115555555555556,21.4,"{1: 896, 2: 1472}","{1: 896, 2: 1472}","{1: 896, 2: 128}","{1: 896, 2: 1472}",3.0,3.0,2.0,4.0,0.2
22.119584736251404,1179.0749999999998,1179.0749999999998,4129.614555555555,1179.0749999999998,21.4,21.4,20.115555555555556,21.4,"{1: 896, 2: 1472}","{1: 896, 2: 1472}","{1: 896, 2: 128}","{1: 896, 2: 1472}",3.0,3.0,2.0,4.0,0.2
22.525723905723908,1156.3616666666667,1156.3616666666667,4129.614555555555,1156.3616666666665,22.443333333333328,22.443333333333328,20.115555555555556,22.443333333333328,"{1: 896, 2: 1664}","{1: 896, 2: 1664}","{1: 896, 2: 128}","{1: 896, 2: 1664}",3.0,3.0,2.0,5.0,0.2
22.93186307519641,1319.3312222222216,1319.3312222222216,4096.19811111111,1156.3616666666665,22.67111111111111,22.67111111111111,22.88888888888889,22.443333333333328,"{1: 1088, 2: 896}","{1: 1088, 2: 896}","{1: 1088, 2: 128}","{1: 896, 2: 1664}",3.0,3.0,2.0,5.0,0.2
23.338002244668914,1177.0728888888889,1177.0728888888889,1177.0728888888889,1156.3616666666665,23.133333333333333,23.133333333333333,23.133333333333333,22.443333333333328,"{1: 1088, 2: 1280}","{1: 1088, 2: 1280}","{1: 1088, 2: 1280}","{1: 896, 2: 1664}",3.0,3.0,3.0,5.0,0.2
23.744141414141417,1177.0728888888889,1177.0728888888889,1177.0728888888889,1136.2376666666664,23.133333333333333,23.133333333333333,23.133333333333333,23.483333333333334,"{1: 1088, 2: 1280}","{1: 1088, 2: 1280}","{1: 1088, 2: 1280}","{1: 896, 2: 1856}",3.0,3.0,3.0,6.0,0.2
24.15028058361392,1177.0728888888889,1177.0728888888889,1177.0728888888889,1136.2376666666664,23.133333333333333,23.133333333333333,23.133333333333333,23.483333333333334,"{1: 1088, 2: 1280}","{1: 1088, 2: 1280}","{1: 1088, 2: 1280}","{1: 896, 2: 1856}",3.0,3.0,3.0,6.0,0.2
24.556419753086423,1145.6585555555553,1145.6585555555553,1145.6585555555553,1133.3697777777775,24.173333333333336,24.173333333333336,24.173333333333336,24.526666666666667,"{1: 1088, 2: 1472}","{1: 1088, 2: 1472}","{1: 1088, 2: 1472}","{1: 896, 2: 2048}",3.0,3.0,3.0,7.0,0.2
24.962558922558923,1145.6585555555553,1145.6585555555553,1145.6585555555553,1133.3697777777775,24.173333333333336,24.173333333333336,24.173333333333336,24.526666666666667,"{1: 1088, 2: 1472}","{1: 1088, 2: 1472}","{1: 1088, 2: 1472}","{1: 896, 2: 2048}",3.0,3.0,3.0,7.0,0.2
25.368698092031426,1122.9452222222217,1122.9452222222217,1122.9452222222217,1133.3697777777775,25.216666666666665,25.216666666666665,25.216666666666665,24.526666666666667,"{1: 1088, 2: 1664}","{1: 1088, 2: 1664}","{1: 1088, 2: 1664}","{1: 896, 2: 2048}",3.0,3.0,3.0,7.0,0.2
25.77483726150393,1275.0778888888888,1275.0778888888888,4087.0746666666655,1131.915222222222,25.56444444444445,25.56444444444445,25.67111111111111,25.57,"{1: 1472, 2: 896}","{1: 1472, 2: 896}","{1: 1280, 2: 128}","{1: 896, 2: 2240}",4.0,4.0,2.0,8.0,0.2
