Performance_Constraint,BCR_disabled_RT,BCR_M/RT_RT,BCR_C/ERT_RT,BCR_MAX_RT,BCR_disabled_Cost,BCR_M/RT_Cost,BCR_C/ERT_Cost,BCR_MAX_Cost,BCR_disabled_Config,BCR_M/RT_Config,BCR_C/ERT_Config,BCR_MAX_Config,BCR_disabled_Iterations,BCR_M/RT_Iterations,BCR_C/ERT_Iterations,BCR_MAX_Iterations,BCR_threshold
2046.0156666666667,2037.5101111111107,2037.5101111111107,2037.5101111111107,2024.2176666666664,56.12333333333334,56.12333333333334,56.12333333333334,57.85666666666667,"{1: 896, 2: 1856, 4: 2240}","{1: 896, 2: 1856, 4: 2240}","{1: 896, 2: 1856, 4: 2240}","{1: 1088, 2: 1664, 4: 2240}",4.0,4.0,4.0,10.0,0.2
2190.0122895622894,2186.7511111111107,2186.7511111111107,2186.7511111111107,2186.7511111111107,48.71222222222222,48.71222222222222,48.71222222222222,48.71222222222222,"{1: 896, 2: 1472, 4: 1664}","{1: 896, 2: 1472, 4: 1664}","{1: 896, 2: 1472, 4: 1664}","{1: 896, 2: 1472, 4: 1664}",4.0,4.0,4.0,12.0,0.2
2334.0089124579126,2332.6037777777774,2332.6037777777774,2332.6037777777774,2314.532555555555,52.64,52.64,52.64,43.73777777777777,"{1: 704, 2: 1664, 4: 1856}","{1: 704, 2: 1664, 4: 1856}","{1: 704, 2: 1664, 4: 1856}","{1: 896, 2: 1280, 4: 1280}",4.0,4.0,4.0,14.0,0.2
2478.0055353535354,2460.9499999999994,2460.9499999999994,2460.9499999999994,2418.710555555555,45.58555555555556,45.58555555555556,45.58555555555556,47.43666666666667,"{1: 704, 2: 1664, 4: 1280}","{1: 704, 2: 1664, 4: 1280}","{1: 704, 2: 1664, 4: 1280}","{1: 704, 2: 1280, 4: 1664}",4.0,4.0,4.0,12.0,0.2
2622.002158249158,2515.077666666666,2515.077666666666,2515.077666666666,2515.077666666666,43.50222222222222,43.50222222222222,43.50222222222222,43.50222222222222,"{1: 704, 2: 1280, 4: 1280}","{1: 704, 2: 1280, 4: 1280}","{1: 704, 2: 1280, 4: 1280}","{1: 704, 2: 1280, 4: 1280}",4.0,4.0,4.0,13.0,0.2
2765.998781144781,2765.042444444444,2765.042444444444,2765.042444444444,2657.3359999999993,43.504444444444445,43.504444444444445,43.504444444444445,43.03999999999999,"{1: 704, 2: 1664, 4: 896}","{1: 704, 2: 1664, 4: 896}","{1: 704, 2: 1664, 4: 896}","{1: 704, 2: 896, 4: 1280}",4.0,4.0,4.0,14.0,0.2
2909.995404040404,2819.1701111111106,2819.1701111111106,2819.1701111111106,2819.1701111111106,41.42111111111111,41.42111111111111,41.42111111111111,41.42111111111111,"{1: 704, 2: 1280, 4: 896}","{1: 704, 2: 1280, 4: 896}","{1: 704, 2: 1280, 4: 896}","{1: 704, 2: 1280, 4: 896}",4.0,4.0,4.0,14.0,0.2
3053.992026936027,3050.5031111111102,3050.5031111111102,3050.5031111111102,2961.428444444444,43.843333333333334,43.843333333333334,43.843333333333334,40.95888888888889,"{1: 704, 2: 1856, 4: 704}","{1: 704, 2: 1856, 4: 704}","{1: 704, 2: 1856, 4: 704}","{1: 704, 2: 896, 4: 896}",4.0,4.0,4.0,15.0,0.2
3197.98864983165,3124.754777777777,3124.754777777777,3124.754777777777,2961.428444444444,40.720000000000006,40.720000000000006,40.720000000000006,40.95888888888889,"{1: 704, 2: 1280, 4: 704}","{1: 704, 2: 1280, 4: 704}","{1: 704, 2: 1280, 4: 704}","{1: 704, 2: 896, 4: 896}",4.0,4.0,4.0,15.0,0.2
3341.985272727273,3267.01311111111,3267.01311111111,3267.01311111111,3267.01311111111,40.257777777777775,40.257777777777775,40.257777777777775,40.257777777777775,"{1: 704, 2: 896, 4: 704}","{1: 704, 2: 896, 4: 704}","{1: 704, 2: 896, 4: 704}","{1: 704, 2: 896, 4: 704}",4.0,4.0,4.0,16.0,0.2
3485.9818956228955,3267.01311111111,3267.01311111111,3267.01311111111,3267.01311111111,40.257777777777775,40.257777777777775,40.257777777777775,40.257777777777775,"{1: 704, 2: 896, 4: 704}","{1: 704, 2: 896, 4: 704}","{1: 704, 2: 896, 4: 704}","{1: 704, 2: 896, 4: 704}",4.0,4.0,4.0,16.0,0.2
3629.9785185185183,3581.913,3581.913,3581.913,3581.913,38.88,38.88,38.88,38.88,"{1: 704, 2: 1280, 4: 512}","{1: 704, 2: 1280, 4: 512}","{1: 704, 2: 1280, 4: 512}","{1: 704, 2: 1280, 4: 512}",4.0,4.0,4.0,15.0,0.2
3773.9751414141415,3724.1713333333328,3724.1713333333328,3724.1713333333328,3724.1713333333328,38.41777777777778,38.41777777777778,38.41777777777778,38.41777777777778,"{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}",4.0,4.0,4.0,16.0,0.2
3917.9717643097642,3724.1713333333328,3724.1713333333328,3724.1713333333328,3724.1713333333328,38.41777777777778,38.41777777777778,38.41777777777778,38.41777777777778,"{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}",4.0,4.0,4.0,16.0,0.2
4061.9683872053874,3724.1713333333328,3724.1713333333328,3724.1713333333328,3724.1713333333328,38.41777777777778,38.41777777777778,38.41777777777778,38.41777777777778,"{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}",4.0,4.0,4.0,16.0,0.2
4205.96501010101,3724.1713333333328,3724.1713333333328,3724.1713333333328,3724.1713333333328,38.41777777777778,38.41777777777778,38.41777777777778,38.41777777777778,"{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}",4.0,4.0,4.0,16.0,0.2
4349.961632996633,3724.1713333333328,3724.1713333333328,3724.1713333333328,3724.1713333333328,38.41777777777778,38.41777777777778,38.41777777777778,38.41777777777778,"{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}","{1: 704, 2: 896, 4: 512}",4.0,4.0,4.0,16.0,0.2
4493.958255892256,4476.761444444445,4476.761444444445,4476.761444444445,3724.1713333333328,36.55555555555556,36.55555555555556,36.55555555555556,38.41777777777778,"{1: 704, 2: 1280, 4: 320}","{1: 704, 2: 1280, 4: 320}","{1: 704, 2: 1280, 4: 320}","{1: 704, 2: 896, 4: 512}",4.0,4.0,4.0,16.0,0.2
4637.954878787879,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
4781.951501683501,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
4925.948124579125,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
5069.944747474748,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
5213.94137037037,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
5357.937993265993,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
5501.934616161616,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
5645.9312390572395,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
5789.927861952861,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
5933.924484848485,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
6077.921107744108,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
6221.9177306397305,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
6365.914353535354,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
6509.910976430976,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
6653.9075993266,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
6797.9042222222215,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
6941.900845117845,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
7085.897468013467,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
7229.894090909091,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
7373.890713804714,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
7517.887336700336,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
7661.88395959596,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
7805.880582491582,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
7949.877205387205,4619.0197777777785,4619.0197777777785,4619.0197777777785,4619.0197777777785,36.09333333333333,36.09333333333333,36.09333333333333,36.09333333333333,"{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}","{1: 704, 2: 896, 4: 320}",4.0,4.0,4.0,17.0,0.2
