Budget,BCR_disabled_RT,BCR_RT/M_RT,BCR_ERT/C_RT,BCR_MAX_RT,BCR_disabled_Cost,BCR_RT/M_Cost,BCR_ERT/C_Cost,BCR_MAX_Cost,BCR_disabled_Config,BCR_RT/M_Config,BCR_ERT/C_Config,BCR_MAX_Config,BCR_disabled_Iterations,BCR_RT/M_Iterations,BCR_ERT/C_Iterations,BCR_MAX_Iterations,BCR_threshold
34.64,8242.092777777778,8242.092777777778,16301.681333333332,8242.092777777778,34.44888888888889,34.44888888888889,34.64,34.44888888888889,"{1: 896, 2: 896, 4: 128}","{1: 896, 2: 896, 4: 128}","{1: 128, 2: 128, 4: 128}","{1: 896, 2: 896, 4: 128}",4.0,4.0,1.0,3.0,0.2
35.341088664421996,8099.834444444446,8099.834444444446,11018.959666666666,8099.834444444446,34.911111111111104,34.911111111111104,34.666666666666664,34.911111111111104,"{1: 896, 2: 1280, 4: 128}","{1: 896, 2: 1280, 4: 128}","{1: 896, 2: 128, 4: 128}","{1: 896, 2: 1280, 4: 128}",3.0,3.0,2.0,3.0,0.2
36.042177328844,8068.4201111111115,8068.4201111111115,11018.959666666666,8068.4201111111115,35.95111111111111,35.95111111111111,34.666666666666664,35.95111111111111,"{1: 896, 2: 1472, 4: 128}","{1: 896, 2: 1472, 4: 128}","{1: 896, 2: 128, 4: 128}","{1: 896, 2: 1472, 4: 128}",3.0,3.0,2.0,4.0,0.2
36.74326599326599,4418.474666666668,4418.474666666668,11018.959666666666,8068.4201111111115,36.32888888888889,36.32888888888889,34.666666666666664,35.95111111111111,"{1: 896, 2: 896, 4: 320}","{1: 896, 2: 896, 4: 320}","{1: 896, 2: 128, 4: 128}","{1: 896, 2: 1472, 4: 128}",4.0,4.0,2.0,4.0,0.2
37.44435465768799,8208.676333333335,8208.676333333335,10985.54322222222,4276.216333333334,37.22222222222222,37.22222222222222,37.44,36.79111111111111,"{1: 1088, 2: 896, 4: 128}","{1: 1088, 2: 896, 4: 128}","{1: 1088, 2: 128, 4: 128}","{1: 896, 2: 1280, 4: 320}",3.0,3.0,2.0,4.0,0.2
38.14544332210999,8066.418000000001,8066.418000000001,8066.418000000001,4244.802000000001,37.684444444444445,37.684444444444445,37.684444444444445,37.83111111111111,"{1: 1088, 2: 1280, 4: 128}","{1: 1088, 2: 1280, 4: 128}","{1: 1088, 2: 1280, 4: 128}","{1: 896, 2: 1472, 4: 320}",3.0,3.0,3.0,5.0,0.2
38.846531986531986,8035.003666666668,8035.003666666668,8035.003666666668,4244.802000000001,38.724444444444444,38.724444444444444,38.724444444444444,37.83111111111111,"{1: 1088, 2: 1472, 4: 128}","{1: 1088, 2: 1472, 4: 128}","{1: 1088, 2: 1472, 4: 128}","{1: 896, 2: 1472, 4: 320}",3.0,3.0,3.0,5.0,0.2
39.54762065095399,4385.058222222223,4385.058222222223,7161.925111111111,3381.3678888888885,39.102222222222224,39.102222222222224,39.31999999999999,39.11555555555556,"{1: 1088, 2: 896, 4: 320}","{1: 1088, 2: 896, 4: 320}","{1: 1088, 2: 128, 4: 320}","{1: 896, 2: 1280, 4: 512}",4.0,4.0,3.0,5.0,0.2
40.24870931537598,8164.423000000002,8164.423000000002,10976.419777777777,3349.9535555555553,40.11555555555557,40.11555555555557,40.22222222222222,40.15555555555556,"{1: 1472, 2: 896, 4: 128}","{1: 1472, 2: 896, 4: 128}","{1: 1280, 2: 128, 4: 128}","{1: 896, 2: 1472, 4: 512}",4.0,4.0,2.0,6.0,0.2
40.94979797979798,8022.1646666666675,8022.1646666666675,8022.1646666666675,3349.9535555555553,40.57777777777778,40.57777777777778,40.57777777777778,40.15555555555556,"{1: 1472, 2: 1280, 4: 128}","{1: 1472, 2: 1280, 4: 128}","{1: 1472, 2: 1280, 4: 128}","{1: 896, 2: 1472, 4: 512}",3.0,3.0,3.0,6.0,0.2
41.65088664421998,2760.8833333333328,2760.8833333333328,5537.750222222222,2924.2096666666657,41.19444444444445,41.19444444444445,41.41222222222222,40.955555555555556,"{1: 896, 2: 896, 4: 896}","{1: 896, 2: 896, 4: 896}","{1: 896, 2: 128, 4: 896}","{1: 896, 2: 1280, 4: 704}",4.0,4.0,3.0,6.0,0.2
42.351975308641975,2618.6249999999995,2618.6249999999995,5537.750222222222,2618.6249999999995,41.656666666666666,41.656666666666666,41.41222222222222,41.656666666666666,"{1: 896, 2: 1280, 4: 896}","{1: 896, 2: 1280, 4: 896}","{1: 896, 2: 128, 4: 896}","{1: 896, 2: 1280, 4: 896}",4.0,4.0,3.0,6.0,0.2
43.05306397306397,2587.2106666666664,2587.2106666666664,5537.750222222222,2587.2106666666664,42.696666666666665,42.696666666666665,41.41222222222222,42.696666666666665,"{1: 896, 2: 1472, 4: 896}","{1: 896, 2: 1472, 4: 896}","{1: 896, 2: 128, 4: 896}","{1: 896, 2: 1472, 4: 896}",4.0,4.0,3.0,7.0,0.2
43.75415263748597,2314.532555555555,2314.532555555555,5233.657777777777,2314.532555555555,43.73777777777777,43.73777777777777,43.49333333333333,43.73777777777777,"{1: 896, 2: 1280, 4: 1280}","{1: 896, 2: 1280, 4: 1280}","{1: 896, 2: 128, 4: 1280}","{1: 896, 2: 1280, 4: 1280}",4.0,4.0,3.0,7.0,0.2
