Performance_Constraint,BCR_disabled_RT,BCR_M/RT_RT,BCR_C/ERT_RT,BCR_MAX_RT,BCR_disabled_Cost,BCR_M/RT_Cost,BCR_C/ERT_Cost,BCR_MAX_Cost,BCR_disabled_Config,BCR_M/RT_Config,BCR_C/ERT_Config,BCR_MAX_Config,BCR_disabled_Iterations,BCR_M/RT_Iterations,BCR_C/ERT_Iterations,BCR_MAX_Iterations,BCR_threshold
303.3235555555556,302.985,302.985,302.985,302.985,12.37888888888889,12.37888888888889,12.37888888888889,12.37888888888889,{2: 2240},{2: 2240},{2: 2240},{2: 2240},2.0,2.0,2.0,2.0,0.2
333.5999270482604,327.4314444444444,327.4314444444444,327.4314444444444,327.4314444444444,9.25222222222222,9.25222222222222,9.25222222222222,9.25222222222222,{2: 1664},{2: 1664},{2: 1664},{2: 1664},2.0,2.0,2.0,4.0,0.2
363.8762985409652,350.1447777777778,350.1447777777778,350.1447777777778,350.1447777777778,8.208888888888888,8.208888888888888,8.208888888888888,8.208888888888888,{2: 1472},{2: 1472},{2: 1472},{2: 1472},2.0,2.0,2.0,5.0,0.2
394.15267003367,381.55911111111106,381.55911111111106,381.55911111111106,381.55911111111106,7.168888888888889,7.168888888888889,7.168888888888889,7.168888888888889,{2: 1280},{2: 1280},{2: 1280},{2: 1280},2.0,2.0,2.0,6.0,0.2
424.4290415263748,381.55911111111106,381.55911111111106,381.55911111111106,381.55911111111106,7.168888888888889,7.168888888888889,7.168888888888889,7.168888888888889,{2: 1280},{2: 1280},{2: 1280},{2: 1280},2.0,2.0,2.0,6.0,0.2
454.70541301907963,381.55911111111106,381.55911111111106,381.55911111111106,381.55911111111106,7.168888888888889,7.168888888888889,7.168888888888889,7.168888888888889,{2: 1280},{2: 1280},{2: 1280},{2: 1280},2.0,2.0,2.0,6.0,0.2
484.98178451178444,381.55911111111106,381.55911111111106,381.55911111111106,381.55911111111106,7.168888888888889,7.168888888888889,7.168888888888889,7.168888888888889,{2: 1280},{2: 1280},{2: 1280},{2: 1280},2.0,2.0,2.0,6.0,0.2
515.2581560044893,381.55911111111106,381.55911111111106,381.55911111111106,381.55911111111106,7.168888888888889,7.168888888888889,7.168888888888889,7.168888888888889,{2: 1280},{2: 1280},{2: 1280},{2: 1280},2.0,2.0,2.0,6.0,0.2
545.5345274971941,523.8174444444444,523.8174444444444,523.8174444444444,523.8174444444444,6.706666666666667,6.706666666666667,6.706666666666667,6.706666666666666,{2: 896},{2: 896},{2: 896},{2: 896},2.0,2.0,2.0,7.0,0.2
575.810898989899,523.8174444444444,523.8174444444444,523.8174444444444,523.8174444444444,6.706666666666667,6.706666666666667,6.706666666666667,6.706666666666666,{2: 896},{2: 896},{2: 896},{2: 896},2.0,2.0,2.0,7.0,0.2
