Start,End
1580351338.482,1580351341.289
1580351348.655,1580351351.009
1580351358.815,1580351361.109
1580351368.963,1580351371.569
1580351379.165,1580351381.809
1580351389.336,1580351393.409
1580351399.538,1580351402.13
1580351409.703,1580351412.67
1580351419.889,1580351422.409
1580351430.085,1580351433.089
1580351440.235,1580351442.849
1580351450.387,1580351452.969
1580351460.591,1580351463.209
1580351470.764,1580351473.369
1580351480.914,1580351483.489
1580351491.071,1580351493.988
1580351501.249,1580351503.829
1580351511.418,1580351513.989
1580351521.578,1580351524.209
1580351531.862,1580351535.689
1580351541.952,1580351545.809
1580351552.141,1580351554.732
1580351562.292,1580351565.069
1580351572.48,1580351575.09
1580351583.035,1580351585.589
1580351593.229,1580351595.869
1580351603.376,1580351605.949
1580351613.558,1580351616.169
1580351623.71,1580351626.268
1580351633.885,1580351636.428
1580351644.129,1580351646.71
1580351654.272,1580351656.868
1580351664.429,1580351667.049
1580351674.589,1580351677.168
1580351684.768,1580351687.348
1580351694.942,1580351697.549
1580351705.137,1580351707.749
1580351715.364,1580351718.569
1580351725.536,1580351729.309
1580351735.693,1580351738.228
1580351745.876,1580351748.688
1580351756.031,1580351758.628
1580351766.169,1580351768.748
1580351776.352,1580351778.948
1580351786.541,1580351789.149
1580351796.685,1580351799.268
1580351806.877,1580351809.687
1580351817.026,1580351820.848
1580351827.483,1580351830.828
1580351837.664,1580351840.911
1580351847.842,1580351850.788
1580351858.011,1580351861.048
1580351868.253,1580351870.868
1580351878.399,1580351881.528
1580351888.605,1580351891.208
1580351898.763,1580351901.308
1580351908.944,1580351911.848
1580351919.13,1580351921.688
1580351929.292,1580351932.107
1580351939.463,1580351942.249
1580351949.684,1580351952.328
1580351959.841,1580351962.368
1580351970.054,1580351972.628
1580351980.262,1580351984.128
1580351990.458,1580351993.367
1580352000.652,1580352003.228
1580352010.818,1580352013.807
1580352021.102,1580352023.747
1580352031.259,1580352033.848
1580352041.453,1580352044.027
1580352051.622,1580352054.208
1580352061.926,1580352066.907
1580352072.41,1580352075.207
1580352082.613,1580352085.228
1580352092.791,1580352095.387
1580352103.031,1580352105.628
1580352113.223,1580352115.807
1580352123.486,1580352126.107
1580352133.677,1580352136.307
1580352143.898,1580352146.667
1580352154.118,1580352156.887
1580352164.303,1580352167.107
1580352174.535,1580352177.148
1580352184.751,1580352187.946
1580352194.948,1580352197.527
1580352205.12,1580352208.927
1580352215.334,1580352217.907
1580352225.505,1580352228.047
1580352235.711,1580352238.327
1580352245.928,1580352248.487
1580352256.128,1580352258.787
1580352266.303,1580352269.587
1580352276.47,1580352279.087
1580352286.643,1580352289.427
1580352296.831,1580352299.386
1580352307.047,1580352310.347
1580352317.51,1580352320.067
1580352327.68,1580352330.487
1580352337.892,1580352340.447
1580352348.105,1580352351.087
1580352358.281,1580352360.906
1580352368.472,1580352371.027
1580352378.68,1580352381.486
1580352388.854,1580352391.646
1580352399.046,1580352401.866
1580352409.229,1580352411.827
1580352419.401,1580352423.106
1580352429.589,1580352432.047
1580352439.774,1580352442.266
1580352449.963,1580352452.647
1580352460.134,1580352462.627
1580352470.314,1580352472.826
1580352480.466,1580352482.986
1580352490.65,1580352495.567
1580352500.833,1580352503.426
1580352511.009,1580352513.826
1580352521.161,1580352523.746
1580352531.355,1580352533.986
1580352541.531,1580352544.11
1580352551.711,1580352555.529
1580352562.118,1580352565.086
1580352572.291,1580352574.886
1580352582.439,1580352585.127
1580352592.648,1580352595.446
1580352602.854,1580352605.426
1580352613.004,1580352615.926
1580352623.164,1580352625.906
1580352633.341,1580352636.085
1580352643.517,1580352646.246
1580352653.736,1580352656.446
1580352663.936,1580352666.686
1580352674.136,1580352677.526
1580352684.312,1580352688.246
1580352694.48,1580352697.366
1580352704.638,1580352707.565
1580352714.83,1580352718.566
1580352725.026,1580352727.685
1580352735.223,1580352738.246
1580352745.393,1580352748.286
1580352755.54,1580352758.445
1580352765.719,1580352768.446
1580352775.868,1580352778.586
1580352786.062,1580352789.987
1580352796.221,1580352799.486
1580352806.69,1580352809.585
1580352816.838,1580352819.505
1580352827.016,1580352830.085
1580352837.189,1580352839.846
1580352847.368,1580352850.065
1580352857.538,1580352860.265
1580352867.722,1580352870.445
1580352877.902,1580352880.565
1580352888.052,1580352890.665
1580352898.241,1580352900.966
1580352908.43,1580352911.128
1580352918.582,1580352921.245
1580352928.757,1580352931.465
1580352938.921,1580352941.625
1580352949.074,1580352951.545
1580352959.269,1580352961.866
1580352969.438,1580352972.065
1580352979.62,1580352982.585
1580352989.79,1580352992.585
1580352999.96,1580353002.905
1580353010.112,1580353012.705
1580353020.29,1580353022.845
1580353030.468,1580353033.165
1580353040.662,1580353043.325
1580353051.125,1580353053.705
1580353061.313,1580353063.925
1580353071.473,1580353074.185
1580353081.685,1580353084.645
1580353091.884,1580353095.006
1580353102.067,1580353104.604
1580353112.214,1580353115.304
1580353122.39,1580353125.024
1580353132.542,1580353135.108
1580353142.772,1580353145.465
1580353153.015,1580353155.885
1580353163.164,1580353165.885
1580353173.334,1580353176.344
1580353183.522,1580353188.045
1580353193.722,1580353196.725
1580353204.16,1580353206.744
1580353214.492,1580353217.126
1580353224.657,1580353227.366
1580353234.844,1580353237.784
1580353245.014,1580353247.604
1580353255.179,1580353257.745
1580353265.353,1580353267.985
1580353275.547,1580353278.245
1580353285.722,1580353288.384
1580353296.213,1580353298.864
1580353306.408,1580353309.244
1580353316.551,1580353319.205
1580353326.719,1580353329.305
1580353336.892,1580353340.084
1580353347.129,1580353351.044
1580353357.266,1580353359.884
1580353367.457,1580353371.264
1580353377.632,1580353380.204
1580353387.774,1580353390.824
1580353397.956,1580353400.647
1580353408.113,1580353411.384
1580353418.309,1580353421.029
1580353428.467,1580353431.067
1580353438.626,1580353441.624
1580353448.803,1580353451.424
1580353458.964,1580353461.644
1580353469.104,1580353472.144
1580353479.287,1580353481.945
1580353489.425,1580353492.284
1580353499.606,1580353502.29
1580353509.759,1580353512.804
1580353519.913,1580353522.485
1580353530.075,1580353532.644
1580353540.566,1580353544.404
1580353550.723,1580353553.643
1580353560.986,1580353563.744
1580353571.168,1580353574.324
1580353581.336,1580353584.224
1580353591.548,1580353594.427
1580353601.74,1580353604.404
1580353611.891,1580353614.623
1580353622.101,1580353625.065
1580353632.266,1580353634.883
1580353642.435,1580353645.324
1580353652.612,1580353655.325
1580353662.803,1580353665.463
1580353672.962,1580353675.583
1580353683.141,1580353685.803
1580353693.331,1580353696.203
1580353703.469,1580353706.143
1580353713.689,1580353716.404
1580353723.859,1580353726.564
1580353734.047,1580353737.863
1580353744.212,1580353749.283
1580353754.39,1580353757.104
1580353764.556,1580353767.124
1580353774.706,1580353777.403
1580353785.175,1580353788.023
1580353795.377,1580353798.883
1580353805.584,1580353808.264
1580353815.852,1580353818.783
1580353826.078,1580353830.803
1580353836.267,1580353839.523
1580353846.465,1580353849.123
1580353856.652,1580353859.202
1580353866.842,1580353869.503
1580353877.011,1580353879.583
1580353887.201,1580353890.163
1580353897.385,1580353899.963
1580353907.638,1580353910.323
