Function,Memory Size,Max Memory Used,Duration,Billed Duration,UTCTimestamp,RequestId
f1,1536,59,407.15,500,1580351338.0,484cb3e2-e9aa-4e52-84d3-7d10fb528be0
f1,1536,59,422.33,500,1580351349.0,e53d7a85-0a18-4978-b658-c9d09c56a38d
f1,1536,59,408.18,500,1580351359.0,83b4deb9-f1c8-41a1-96a7-cf4eb4ddff94
f1,1536,59,723.73,800,1580351369.0,7ec5223b-da38-45eb-aa55-57c1e399a2e9
f1,1536,59,722.93,800,1580351379.0,e6d03a92-ac7a-4ad5-bde1-ce8ed4645b5c
f1,1536,59,711.85,800,1580351390.0,dae7e09a-6ae2-45da-af3b-dfb2d15a3ba1
f1,1536,59,714.29,800,1580351400.0,e077b357-8f6e-4ac8-ae84-400fc95d96d6
f1,1536,59,717.76,800,1580351410.0,7cfa1e82-5e7d-4368-8198-dcd1cfc4f144
f1,1536,59,709.02,800,1580351420.0,de8f5918-98ba-45bc-8bd5-fe0877b291b0
f1,1536,59,726.82,800,1580351430.0,1831f6d7-795e-483b-b082-a550dcd78e43
f1,1536,59,721.06,800,1580351441.0,2cc40611-0670-491c-acaa-e6be323b6a05
f1,1536,59,718.72,800,1580351451.0,00e9399f-46c7-4845-bead-a4852bd01a4a
f1,1536,59,710.45,800,1580351461.0,506cf600-52c9-4cbe-b588-1b18a40dcc36
f1,1536,59,720.36,800,1580351471.0,54b89650-4cbe-4d0c-b866-7e8dad865168
f1,1536,59,713.67,800,1580351481.0,1ba0e35a-e312-4df0-ad05-e0de25e53919
f1,1536,59,720.98,800,1580351491.0,b65c4477-da57-4134-93b5-c76999aa78be
f1,1536,59,725.02,800,1580351501.0,7ea8b8d8-1acc-4fcb-abd0-f7c7a15c6d4c
f1,1536,59,710.12,800,1580351512.0,155a23b6-bb0f-4af2-8291-b3827448c0ee
f1,1536,60,734.82,800,1580351522.0,5b2d445e-7176-4958-a711-f8001d032448
f1,1536,60,715.28,800,1580351532.0,a827b70a-30e8-4fef-a320-7799eb05832a
f1,1536,60,735.24,800,1580351542.0,4d7ba75f-aedd-4feb-a5c7-7f4af155d0e5
f1,1536,60,731.84,800,1580351552.0,dce0c9c8-9247-45cc-9c0b-abe51910971c
f1,1536,60,718.96,800,1580351563.0,c5f8ba16-6f20-467a-9a6e-1ca93ad30779
f1,1536,60,721.92,800,1580351573.0,9e1aa130-d5da-4699-8ca5-1032fc068351
f1,1536,60,713.64,800,1580351583.0,2486caac-9206-48a8-a7f8-41aaedfe9947
f1,1536,60,727.51,800,1580351593.0,f766d7f5-364d-4761-828a-d7eeaf7c8c5b
f1,1536,60,724.82,800,1580351604.0,c1ed0eeb-988e-4b8f-896c-95d0b84a3571
f1,1536,60,731.53,800,1580351614.0,c15eaad2-3254-49db-bf43-49d3d433f202
f1,1536,60,732.5,800,1580351624.0,abe2c391-2abb-4c98-8005-0a0f5c305456
f1,1536,60,717.88,800,1580351634.0,c38448f0-5e79-4a75-b5c6-48a835153ed6
f1,1536,60,714.52,800,1580351644.0,e23e7655-170a-4bc1-8839-960350d0f23f
f1,1536,60,718.51,800,1580351655.0,87dba35d-a90f-41d9-850c-3eadcf64ef1d
f1,1536,60,716.32,800,1580351665.0,1ec708b4-9698-4ffd-a69e-bb78bbd5e96f
f1,1536,60,709.68,800,1580351675.0,a4bfacf9-b3e0-4e97-9325-b7779e084b4e
f1,1536,60,728.37,800,1580351685.0,71b252f8-8f9d-4572-a120-d0dc9d7c1af4
f1,1536,60,721.05,800,1580351695.0,2042a287-ca04-4809-8c3e-660f7cb498a1
f1,1536,60,705.74,800,1580351705.0,cff4adcb-f979-4f3c-8234-b40a490cbe09
f1,1536,60,717.82,800,1580351716.0,86160348-2a4e-4fb0-afa6-c21f0ed2d1b8
f1,1536,60,714.8,800,1580351726.0,b83a3559-22cd-4d14-a68e-88f4e966832d
f1,1536,60,711.16,800,1580351736.0,747b79ed-a426-41c1-8b95-b92a3a788e9f
f1,1536,60,735.4,800,1580351746.0,ce0b1815-9818-406f-9bcc-014a0a2e4049
f1,1536,60,715.75,800,1580351756.0,ef4d7ee5-af92-4504-9754-5d7ad5e0c697
f1,1536,60,703.62,800,1580351766.0,cada5795-23ea-4f63-9f15-c5489d097d01
f1,1536,60,711.18,800,1580351777.0,3deaffee-451b-448e-aa64-9c0857402911
f1,1536,60,717.84,800,1580351787.0,32a222ca-5aaf-4f7a-95a8-fbf093a3a87c
f1,1536,60,714.74,800,1580351797.0,0878fdb0-11c5-48fe-998f-57e9d9e2f533
f1,1536,60,722.01,800,1580351807.0,42024b07-a9f1-4ddb-9f38-d06efd16e020
f1,1536,60,712.68,800,1580351817.0,36b8a3e8-4511-4624-94c4-7cac2b4c0143
f1,1536,60,722.08,800,1580351828.0,5ae94340-e2f3-45aa-a7ce-67476c7ba082
f1,1536,60,708.56,800,1580351838.0,01a6acf7-cb25-435f-8b8d-753fd1de9f27
f1,1536,60,707.58,800,1580351848.0,10fe2493-c591-4c21-ad91-cb4edb5de7c9
f1,1536,60,717.68,800,1580351858.0,afdb8cc8-82d4-4d5c-b898-f6946c96222f
f1,1536,60,718.0,800,1580351868.0,9dc8b0df-2a2a-4e39-8302-3fb6dcfdb27c
f1,1536,60,710.82,800,1580351879.0,2f1504bb-9562-4206-a075-0881971547b1
f1,1536,60,711.72,800,1580351889.0,56ce6e43-2b0d-4c93-addb-f5d6738a3b89
f1,1536,61,711.19,800,1580351899.0,c26b1f03-a2fc-4de9-ad68-1a175547ef87
f1,1536,61,717.71,800,1580351909.0,eef87f87-2608-41cf-b1f0-412a65edf81f
f1,1536,61,710.78,800,1580351919.0,1664e481-1d0b-4926-97bd-388fc30a8df0
f1,1536,61,710.76,800,1580351930.0,8ead4cc2-46a0-4fb8-a585-025958374cb9
f1,1536,61,724.1,800,1580351940.0,3cf5abb5-1793-4710-9634-3dd813b123a1
f1,1536,61,729.52,800,1580351950.0,d89fb349-2329-4cf7-b113-97fa01608ae0
f1,1536,61,710.19,800,1580351960.0,11789f0c-44a6-42c1-88bd-5b0dfd8516ef
f1,1536,61,723.58,800,1580351970.0,011c89e3-029b-4a7c-bf78-4c580e8c4226
f1,1536,61,716.8,800,1580351981.0,9b68d4b3-6ce0-40cb-903d-eabab63297b4
f1,1536,61,714.72,800,1580351991.0,fbc0f446-3db4-4000-a48d-16d578ff53b3
f1,1536,61,707.7,800,1580352001.0,a217c36e-c528-4e37-8cd6-2f6dcdd8d361
f1,1536,61,732.53,800,1580352011.0,b0439be2-9e48-4418-8bae-91b154bf9fb7
f1,1536,61,733.91,800,1580352021.0,c2431433-5802-4ef7-baa5-d7b17fb94993
f1,1536,61,717.66,800,1580352031.0,8f72e2d4-63b6-43d7-aedf-8bdd435cbef3
f1,1536,61,733.29,800,1580352042.0,12b06720-a731-4492-ac41-d068d3b32199
f1,1536,61,724.85,800,1580352052.0,62750709-19d7-4d44-8229-7cd7b474ffe3
f1,1536,61,711.8,800,1580352062.0,e66fc6f2-940a-4702-a3b9-a1461e9a015b
f1,1536,61,736.94,800,1580352073.0,738c104e-9714-44da-91bd-3127e80f5254
f1,1536,61,720.32,800,1580352083.0,342587cb-f2c2-4517-848d-c1b4797d8cc9
f1,1536,61,713.69,800,1580352093.0,a3a62ea3-790b-4d65-a04d-07dba43255a8
f1,1536,61,710.55,800,1580352103.0,c9e00413-295e-4913-9606-bc24246e1bc6
f1,1536,61,714.02,800,1580352113.0,65fe2402-b02e-4c02-8f92-04442601523b
f1,1536,61,721.83,800,1580352124.0,a56c2a29-914b-4389-8402-6e8c4dff5a56
f1,1536,61,722.28,800,1580352134.0,bf594124-0945-4078-8f10-7cae3ab17162
f1,1536,61,727.33,800,1580352144.0,5946bfbd-5044-4f08-b46f-655f2e40e79e
f1,1536,61,718.98,800,1580352154.0,ccee2caa-9f47-414d-b468-52d689341d0c
f1,1536,61,718.21,800,1580352165.0,d1f54568-64b8-447b-87e6-733ace940da8
f1,1536,61,710.01,800,1580352175.0,c857159e-f1a4-44dd-bbc6-7afd5cc58f6c
f1,1536,61,762.75,800,1580352185.0,5ee96165-184c-43cd-8565-cb6366a37f89
f1,1536,61,715.83,800,1580352195.0,9be86639-5e85-4239-a7c9-47f65ebe2aab
f1,1536,61,713.46,800,1580352205.0,6ca983b9-626f-4a52-9a72-7261a12b5790
f1,1536,61,709.99,800,1580352216.0,00924064-3e98-4788-927b-f46a55d7111d
f1,1536,61,710.0,800,1580352226.0,2b27e54c-b73f-49b2-aac2-e08848a0b6a9
f1,1536,61,719.07,800,1580352236.0,59993b74-b55e-466d-80c0-45db0daeb220
f1,1536,61,716.08,800,1580352246.0,b748e210-2194-40dd-a3f0-6f9e8485fb82
f1,1536,61,741.34,800,1580352256.0,a21ead7b-391a-4452-aff2-f8517ba91c44
f1,1536,61,717.44,800,1580352267.0,751a78f7-204c-4c4d-8ea9-d0c5b7712de1
f1,1536,61,773.73,800,1580352277.0,d1eec1de-a421-4cf4-9fdd-0573ee4dc08a
f1,1536,61,724.55,800,1580352287.0,e958270a-47d8-4377-92b5-3eceee5443d7
f1,1536,61,716.66,800,1580352297.0,49d13fbf-d247-4591-b114-536dee77085b
f1,1536,61,718.43,800,1580352307.0,3cf2e443-a804-4117-9837-18fd8b79cac0
f1,1536,61,714.14,800,1580352318.0,9597980a-2e7a-462b-b947-edc73d0a4fef
f1,1536,61,733.62,800,1580352328.0,8189152f-322e-46e0-ad03-f38be9e55795
f1,1536,61,712.71,800,1580352338.0,615cf73d-2c2e-4999-8f74-1761799b5ce8
f1,1536,61,734.32,800,1580352348.0,f8c0a68d-1403-416b-85ed-0c4e9b8341f5
f1,1536,61,714.08,800,1580352359.0,0cad6ccb-4cfd-4d22-9c9a-751119aea197
f1,1536,61,710.43,800,1580352369.0,34d06f38-8de8-4763-8e4b-68f0b663ed09
f1,1536,61,720.74,800,1580352379.0,1b446cfd-c040-4926-b8ac-c7687e48c05c
f1,1536,61,714.75,800,1580352389.0,22bf2cb3-a8b7-4c99-b99f-7243d9a1434d
f1,1536,61,730.29,800,1580352399.0,4e711b5b-35e5-4939-8f8c-474d3513d1cf
f1,1536,61,744.29,800,1580352409.0,80b89239-ce56-4941-9d20-d21b74e65913
f1,1536,61,620.0,700,1580352420.0,91e38cf4-ca0a-4048-8abf-a93db09db401
f1,1536,61,609.34,700,1580352430.0,c0df57d1-5bd7-4c00-9e6c-e8c9265b58d0
f1,1536,61,612.12,700,1580352440.0,1661ccdb-fb3c-4739-b900-88a991724bcc
f1,1536,61,610.47,700,1580352450.0,685157b0-7146-4cb4-9444-d8f323ad87d2
f1,1536,61,618.41,700,1580352460.0,d1bb82d7-3bda-4fda-8e87-16eb27f221f8
f1,1536,61,607.75,700,1580352470.0,b858a401-28b1-49e5-b073-790720a0dd97
f1,1536,61,615.42,700,1580352481.0,bfbcbf7a-2b8b-449f-ab49-4c200a4b91cb
f1,1536,61,615.3,700,1580352491.0,c6d9af7a-a4a9-4fa2-8d9c-f92d0de74379
