,1M_Exe_Cost
60,59.532
61,87.97800000000001
62,87.97800000000001
63,109.001
64,59.105
65,56.718999999999994
66,59.105
67,59.532
68,81.51800000000001
69,87.97800000000001
70,87.97800000000001
71,107.41200000000002
72,85.581
73,87.97800000000001
74,84.33100000000002
75,59.532
76,59.532
77,84.33100000000002
78,59.532
79,60.782000000000004
80,57.865
81,89.228
82,56.615
83,90.25999999999999
84,56.615
85,111.91800000000002
86,84.33100000000002
87,82.24800000000002
88,59.532
89,81.51800000000001
90,85.06100000000002
91,87.229
92,84.33100000000002
93,85.581
94,55.26
95,90.042
96,81.51800000000001
97,89.228
98,81.51800000000001
99,85.36300000000001
100,87.97800000000001
101,56.718999999999994
102,89.228
103,56.51
104,89.228
105,58.073
106,106.60400000000001
107,57.031
108,57.031
109,58.281
110,82.664
111,82.664
112,82.664
113,104.91100000000003
114,87.97800000000001
115,57.969
116,56.615
117,59.532
118,87.97800000000001
119,109.10500000000002
120,86.197
121,59.532
122,90.479
123,60.782000000000004
124,59.532
125,63.282999999999994
126,62.032999999999994
127,86.83200000000001
128,60.57399999999999
129,57.76099999999999
130,87.56200000000001
131,64.09700000000001
132,111.60600000000001
133,63.282999999999994
134,88.08200000000001
135,89.92800000000001
136,90.479
137,60.25199999999999
138,60.47
139,91.72899999999998
140,86.83200000000001
141,62.032999999999994
142,114.41900000000001
143,61.501999999999995
144,88.08200000000001
145,86.83200000000001
146,61.605999999999995
147,84.019
148,59.21999999999999
149,62.032999999999994
150,57.76099999999999
151,90.479
152,87.666
153,90.479
154,90.479
155,56.30299999999999
156,90.479
157,60.57399999999999
158,57.031
159,56.718999999999994
160,55.26
161,89.01
162,86.41499999999999
163,89.01
164,59.532
165,85.165
166,62.032999999999994
167,60.57399999999999
168,84.33100000000002
169,84.33100000000002
170,87.666
171,85.36300000000001
172,86.613
173,56.718999999999994
174,87.864
175,90.479
176,58.073
177,60.57399999999999
178,88.08200000000001
179,86.83200000000001
180,89.01
181,82.72300000000001
182,58.79299999999999
183,84.33100000000002
184,87.97800000000001
185,94.12600000000002
186,60.564
187,84.33100000000002
188,87.97800000000001
189,84.33100000000002
190,90.479
191,59.21999999999999
192,59.21999999999999
193,59.323
194,59.11599999999999
195,87.97800000000001
196,86.613
197,107.959
198,56.718999999999994
199,108.271
200,81.51800000000001
201,63.065000000000005
202,86.83200000000001
203,92.76099999999998
204,62.032999999999994
205,85.165
206,59.105
207,55.26
208,57.76099999999999
209,108.714
210,87.97800000000001
211,59.323
212,84.019
213,87.864
214,56.718999999999994
215,81.51800000000001
216,108.271
217,82.55000000000001
218,90.479
219,59.001
220,89.01
221,88.08200000000001
222,59.532
223,86.83200000000001
224,106.317
225,84.33100000000002
226,85.269
227,87.666
228,84.33100000000002
229,58.073
230,81.51800000000001
231,88.08200000000001
232,87.666
233,86.83200000000001
234,86.83200000000001
235,102.64500000000001
236,104.287
237,84.019
238,56.718999999999994
239,90.479
240,89.228
241,62.846000000000004
242,86.83200000000001
243,85.36300000000001
244,114.30399999999999
245,90.042
246,84.019
247,81.51800000000001
248,62.032999999999994
249,59.532
250,89.01
251,56.718999999999994
252,62.032999999999994
253,81.51800000000001
254,90.479
255,88.08200000000001
256,81.51800000000001
257,84.019
258,94.12600000000002
259,90.042
260,87.666
261,87.666
262,55.26
263,90.479
264,84.019
265,90.479
266,84.019
267,87.666
268,86.83200000000001
269,60.57399999999999
270,108.271
271,89.228
272,107.959
273,90.479
274,86.83200000000001
275,89.114
276,91.31300000000002
277,111.91800000000002
278,84.51400000000001
279,110.45899999999997
280,85.16499999999999
281,62.032999999999994
282,89.62600000000002
283,60.782000000000004
284,81.51800000000001
285,86.83200000000001
286,87.666
287,111.91800000000002
288,86.83200000000001
289,91.511
290,88.89600000000002
291,62.032999999999994
292,85.269
293,84.019
294,95.272
295,90.479
296,87.97800000000001
297,87.864
298,59.532
299,61.605999999999995
300,87.666
301,86.41499999999999
302,98.607
303,59.532
304,56.291999999999994
305,85.165
306,87.666
307,91.72899999999998
308,59.010999999999996
309,59.11599999999999
310,58.073
311,84.019
312,59.532
313,88.698
314,60.57399999999999
315,95.88800000000002
316,81.102
317,61.605999999999995
318,90.479
319,59.105
320,59.21999999999999
321,61.605999999999995
322,86.83200000000001
323,86.83200000000001
324,82.55000000000001
325,87.666
326,58.073
327,112.75200000000001
328,131.89899999999997
329,56.718999999999994
330,55.26
331,85.165
332,88.698
333,90.479
334,83.91499999999999
335,86.83200000000001
336,97.773
337,57.76099999999999
338,82.35199999999999
339,90.479
340,56.615
341,80.163
342,57.647
343,87.97800000000001
344,60.564
345,56.718999999999994
346,86.311
347,55.26
348,81.414
349,59.532
350,78.601
351,87.97800000000001
352,56.615
353,87.97800000000001
354,56.718999999999994
355,85.581
356,81.414
357,59.532
358,87.97800000000001
359,57.865
360,85.581
361,90.042
362,89.228
363,85.165
364,55.866
365,85.06100000000002
366,85.06100000000002
367,59.532
368,87.97800000000001
369,79.85099999999998
370,55.156
371,89.228
372,87.97800000000001
373,81.414
374,60.355000000000004
375,57.969
376,82.55000000000001
377,84.33100000000002
378,98.91900000000001
379,59.532
380,56.718999999999994
381,86.311
382,59.532
383,57.751
384,58.073
385,89.01
386,86.41499999999999
387,59.532
388,89.228
389,56.291999999999994
390,59.105
391,83.47200000000002
392,85.581
393,59.532
394,60.564
395,59.532
396,60.137
397,85.36300000000001
398,61.596
399,87.97800000000001
400,78.601
401,59.532
402,84.50400000000002
403,59.532
404,77.74200000000002
405,82.53400000000002
406,84.33100000000002
407,59.532
408,92.324
409,82.24800000000002
410,58.678999999999995
411,82.446
412,56.718999999999994
413,84.33100000000002
414,111.80299999999998
415,60.564
416,84.33100000000002
417,84.33100000000002
418,59.323
419,84.33100000000002
420,84.33100000000002
421,58.073
422,105.53599999999999
423,59.532
424,111.91800000000002
425,82.446
426,59.323
427,57.647
428,85.06100000000002
429,82.55000000000001
430,82.66399999999999
431,77.84600000000002
432,86.197
433,80.65900000000002
434,59.532
435,60.564
436,81.414
437,87.97800000000001
438,85.165
439,59.532
440,85.165
441,87.97800000000001
442,85.06100000000002
443,86.39500000000001
444,84.33100000000002
445,56.406
446,59.532
447,82.24800000000002
448,79.85099999999998
449,58.073
450,58.073
451,87.97800000000001
452,55.26
453,58.897000000000006
454,59.532
455,82.446
456,57.865
457,57.647
458,60.564
459,59.532
460,80.762
461,84.33100000000002
462,85.36300000000001
463,59.532
464,59.105
465,89.228
466,85.36300000000001
467,85.581
468,56.615
469,87.97800000000001
470,86.09300000000002
471,59.532
472,85.581
473,81.50800000000002
474,59.323
475,81.414
476,85.36300000000001
477,91.62500000000001
478,111.605
479,58.073
480,111.605
481,59.532
482,86.197
483,106.38600000000002
484,115.564
485,78.91300000000001
486,78.601
487,81.414
488,77.87100000000001
489,82.24800000000002
490,86.311
491,55.26
492,87.97800000000001
493,59.532
494,78.77400000000002
495,56.406
496,58.073
497,85.165
498,54.833999999999996
499,78.601
500,61.596
501,81.414
502,90.25999999999999
503,85.06100000000002
504,57.751
505,89.01
506,59.323
507,58.073
508,59.532
509,58.073
510,54.217999999999996
511,59.532
512,78.601
513,53.802
514,87.97800000000001
515,81.51800000000001
516,86.39500000000001
517,56.718999999999994
518,85.581
519,105.45800000000001
520,57.22
521,53.593
522,56.718999999999994
523,83.39300000000001
524,85.581
525,59.532
526,90.042
527,56.615
528,87.97800000000001
529,85.06100000000002
530,59.532
531,60.782000000000004
532,87.00399999999999
533,85.165
534,81.414
535,87.97800000000001
536,85.36300000000001
537,108.98999999999998
538,85.36300000000001
539,86.311
540,85.36300000000001
541,84.33100000000002
542,87.97800000000001
543,87.97800000000001
544,110.98000000000002
545,56.718999999999994
546,84.33100000000002
547,84.33100000000002
548,55.26
549,56.615
550,87.97800000000001
551,83.47200000000002
552,60.782000000000004
553,60.782000000000004
554,60.355000000000004
555,81.51800000000001
556,87.97800000000001
557,89.228
558,85.36300000000001
559,60.782000000000004
560,84.33100000000002
561,84.33100000000002
562,89.01
563,85.581
564,84.61400000000002
565,84.33100000000002
566,59.532
567,111.91800000000002
568,87.229
569,81.51800000000001
570,53.802
571,56.718999999999994
572,78.601
573,81.414
574,83.15899999999999
575,59.532
576,87.97800000000001
577,87.97800000000001
578,56.406
579,90.042
580,82.01300000000002
581,59.532
582,84.33100000000002
583,87.97800000000001
584,89.228
585,59.532
586,55.26
587,85.581
588,56.718999999999994
589,91.074
590,88.45900000000002
591,87.97800000000001
592,56.718999999999994
593,85.36300000000001
594,58.073
595,57.751
596,59.532
597,84.33100000000002
598,109.86000000000001
599,82.24800000000002
600,85.36300000000001
601,85.581
602,84.33100000000002
603,84.33100000000002
604,82.72300000000001
605,78.601
606,85.06100000000002
607,81.51800000000001
608,59.532
609,89.01
610,76.38700000000001
611,60.782000000000004
612,78.88699999999999
613,89.01
614,59.532
615,87.97800000000001
616,82.66399999999999
617,87.97800000000001
618,57.969
619,85.581
620,53.802
621,85.165
622,57.751
623,81.51800000000001
624,59.532
625,57.135
626,59.532
627,85.165
628,82.55000000000001
629,55.26
630,87.97800000000001
631,85.581
632,81.51800000000001
633,90.25999999999999
634,84.33100000000002
635,85.06100000000002
636,59.532
637,57.969
638,86.41499999999999
639,131.446
640,91.62500000000001
641,59.532
642,86.09300000000002
643,60.782000000000004
644,55.26
645,89.228
646,81.51800000000001
647,57.751
648,58.073
649,56.51
650,87.97800000000001
651,84.33100000000002
652,99.72800000000002
653,87.97800000000001
654,58.073
655,84.33100000000002
656,59.532
657,87.97800000000001
658,56.718999999999994
659,56.615
780,56.718999999999994
781,84.33100000000002
782,87.04
783,59.532
784,111.91800000000002
785,87.97800000000001
786,84.33100000000002
787,58.385000000000005
788,87.97800000000001
789,84.12300000000002
790,59.532
791,83.47200000000002
792,110.77099999999999
793,89.01
794,89.228
795,59.532
796,59.532
797,85.581
798,58.073
799,81.07500000000002
800,89.01
801,87.04
802,84.33100000000002
803,87.97800000000001
804,58.073
805,83.25300000000001
806,58.073
807,85.36300000000001
808,60.782000000000004
809,59.532
810,82.55000000000001
811,87.97800000000001
812,108.271
813,87.97800000000001
814,56.718999999999994
815,84.33100000000002
816,84.33100000000002
817,60.782000000000004
818,60.564
819,95.272
820,91.62500000000001
821,87.97800000000001
822,59.532
823,59.532
824,59.532
825,81.51800000000001
826,58.073
827,87.97800000000001
828,87.97800000000001
829,59.532
830,92.459
831,91.62500000000001
832,82.55000000000001
833,59.532
834,58.073
835,85.581
836,57.135
837,57.135
838,87.97800000000001
839,87.97800000000001
840,58.073
841,59.532
842,58.782999999999994
843,95.272
844,89.01
845,52.655
846,60.564
847,82.55000000000001
848,57.135
849,89.228
850,87.04
851,59.532
852,84.33100000000002
853,86.41499999999999
854,87.04
855,59.532
856,108.271
857,84.33100000000002
858,111.91800000000002
859,61.388000000000005
860,85.581
861,87.97800000000001
862,58.073
863,60.564
864,87.97800000000001
865,59.532
866,87.97800000000001
867,90.042
868,89.228
869,57.751
870,84.64300000000001
871,81.51800000000001
872,83.8
873,59.105
874,55.572
875,110.667
876,56.718999999999994
877,60.782000000000004
878,58.073
879,59.532
880,83.39300000000001
881,58.073
882,60.564
883,55.156
884,82.01300000000002
885,87.97800000000001
886,56.718999999999994
887,110.98000000000002
888,80.34599999999999
889,58.073
890,59.532
891,87.97800000000001
892,58.073
893,60.782000000000004
894,59.532
895,87.97800000000001
896,89.228
897,59.532
898,82.55000000000001
899,87.44699999999999
900,84.33100000000002
901,59.532
902,89.228
903,59.532
904,60.782000000000004
905,85.581
906,103.816
907,86.39500000000001
908,106.29200000000002
909,58.073
910,84.227
911,59.532
912,84.33100000000002
913,109.86000000000001
914,60.782000000000004
915,83.39300000000001
916,82.01300000000002
917,81.51800000000001
918,89.228
919,85.165
920,58.594
921,56.718999999999994
922,112.95000000000002
923,84.33100000000002
924,81.61200000000002
925,87.97800000000001
926,87.97800000000001
927,61.814
928,84.33100000000002
929,95.584
930,60.782000000000004
931,60.782000000000004
932,106.473
933,87.04
934,104.07700000000003
935,55.26
936,60.782000000000004
937,90.25999999999999
938,84.33100000000002
939,64.91
940,59.532
941,57.031000000000006
942,90.042
943,83.15899999999999
944,99.753
945,59.532
946,87.04
947,85.581
948,59.532
949,58.073
950,81.51800000000001
951,87.97800000000001
952,106.29200000000002
953,87.97800000000001
954,84.33100000000002
955,87.97800000000001
956,59.532
957,58.073
958,87.97800000000001
959,56.718999999999994
960,109.93900000000001
961,90.25999999999999
962,87.97800000000001
963,59.532
964,85.165
965,89.01
966,56.718999999999994
967,85.165
968,82.24800000000002
969,87.97800000000001
970,56.718999999999994
971,56.291999999999994
972,60.782000000000004
973,87.97800000000001
974,109.30300000000001
975,105.14499999999998
976,59.532
977,87.97800000000001
978,84.33100000000002
979,84.33100000000002
980,105.35400000000003
981,85.165
982,87.04
983,56.406
984,86.41499999999999
985,82.66399999999999
986,55.26
987,59.626000000000005
988,56.718999999999994
989,59.532
990,84.33100000000002
991,84.42500000000003
992,56.718999999999994
993,92.87500000000001
994,56.718999999999994
995,110.98000000000002
996,106.29200000000002
997,87.97800000000001
998,105.45800000000001
999,58.073
1000,57.969
1001,60.782000000000004
1002,85.36300000000001
1003,79.91000000000001
1004,81.51800000000001
1005,87.97800000000001
1006,56.718999999999994
1007,89.228
1008,81.51800000000001
1009,59.323
1010,58.782999999999994
1011,87.97800000000001
1012,85.165
1013,87.97800000000001
1014,55.26
1015,78.601
1016,87.97800000000001
1017,58.073
1018,81.51800000000001
1019,83.253
1020,55.26
1021,87.64500000000001
1022,84.33100000000002
1023,59.532
1024,112.95000000000002
1025,85.581
1026,87.97800000000001
1027,81.69100000000002
1028,59.532
1029,58.594
1030,60.782000000000004
1031,58.073
1032,89.228
1033,87.97800000000001
1034,89.228
1035,87.97800000000001
1036,58.073
1037,85.06100000000002
1038,85.165
1039,84.33100000000002
1040,87.97800000000001
1041,85.581
1042,85.36300000000001
1043,60.04299999999999
1044,59.635999999999996
1045,60.57399999999999
1046,88.037
1047,60.57399999999999
1048,90.063
1049,60.25199999999999
1050,110.46000000000001
1051,94.23
1052,61.721000000000004
1053,66.598
1054,60.57399999999999
1055,62.13700000000001
1056,86.52000000000001
1057,92.98
1058,63.07500000000002
1059,95.262
1060,89.09800000000001
1061,89.33300000000001
1062,94.012
1063,65.566
1064,89.51499999999999
1065,90.36500000000001
1066,63.78500000000001
1067,114.10700000000001
1068,89.33300000000001
1069,92.98
1070,86.83200000000001
1071,89.33300000000001
1072,89.33300000000001
1073,91.09500000000001
1074,64.534
1075,92.98
1076,63.065000000000005
1077,86.52000000000001
1078,60.26199999999999
1079,92.98
1080,60.57399999999999
1081,91.417
1082,88.584
1083,61.721000000000004
1084,92.98
1085,61.605999999999995
1086,91.72899999999998
1087,84.33100000000002
1088,84.33100000000002
1089,88.708
1090,59.21999999999999
1091,84.33100000000002
1092,87.97800000000001
1093,85.259
1094,84.33100000000002
1095,59.323
1096,59.21999999999999
1097,89.228
1098,84.33100000000002
1099,84.33100000000002
1100,85.165
1101,85.165
1102,59.21999999999999
1103,90.479
1104,60.564
1105,89.228
1106,87.666
1107,86.728
1108,60.57399999999999
1109,57.751
1110,88.698
1111,110.98000000000002
1112,86.83200000000001
1113,114.2
1114,90.479
1115,60.57399999999999
1116,87.666
1117,90.791
1118,57.865
1119,90.479
1120,85.165
1121,90.479
1122,59.532
1123,86.83200000000001
1124,89.541
1125,85.06100000000002
1126,90.479
1127,62.032999999999994
1128,56.718999999999994
1129,60.57399999999999
1130,96.52199999999999
1131,86.311
1132,54.843999999999994
1133,62.032999999999994
1134,86.83200000000001
1135,57.751
1136,63.065000000000005
1137,85.165
1138,91.72899999999998
1139,63.282999999999994
1140,104.59900000000002
1141,83.91499999999999
1142,81.51800000000001
1143,63.282999999999994
1144,84.227
1145,54.322
1146,110.98000000000002
1147,57.751
1148,84.019
1149,60.57399999999999
1150,86.83200000000001
1151,52.342999999999996
1152,85.05100000000002
1153,86.83200000000001
1154,81.414
1155,87.97800000000001
1156,58.782999999999994
1157,84.33100000000002
1158,60.564
1159,60.25199999999999
1160,85.89400000000002
1161,59.323
1162,90.479
1163,63.282999999999994
1164,87.04
1165,84.019
1166,63.282999999999994
1167,87.666
1168,90.479
1169,59.105
1170,90.479
1171,83.08100000000002
1172,87.97800000000001
1173,95.272
1174,116.919
1175,85.05100000000002
1176,86.83200000000001
1177,58.073
1178,88.08200000000001
1179,88.698
1180,88.89600000000002
1181,62.032999999999994
1182,89.228
1183,87.97800000000001
1184,87.666
1185,90.479
1186,62.032999999999994
1187,90.479
1188,81.69999999999999
1189,79.01700000000001
1190,84.62400000000001
1191,105.02100000000002
1192,55.85499999999999
1193,105.66600000000001
1194,79.74700000000001
1195,85.36300000000001
1196,81.414
1197,85.034
1198,89.228
1199,81.51800000000001
1200,57.865
1201,90.25999999999999
1202,87.97800000000001
1203,85.165
1204,60.782000000000004
1205,58.073
1206,87.333
1207,82.35199999999999
1208,89.541
1209,87.44699999999999
1210,57.969
1211,86.09300000000002
1212,82.56
1213,87.97800000000001
1214,86.197
1215,59.532
1216,56.30299999999999
1217,81.414
1218,87.666
1219,56.406
1220,102.64500000000001
1221,59.11599999999999
1222,102.566
1223,77.84600000000002
1224,60.366
1225,88.89600000000002
1226,90.479
1227,85.581
1228,59.21999999999999
1229,86.41499999999999
1230,84.33100000000002
1231,61.814
1232,85.165
1233,84.019
1234,57.969
1235,62.032999999999994
1236,82.977
1237,85.47699999999999
1238,90.06200000000001
1239,85.06100000000002
1240,84.74900000000001
1241,83.08100000000002
1242,114.836
1243,85.36300000000001
1244,81.51800000000001
1245,57.751
1246,56.30299999999999
1247,55.052
1248,86.83200000000001
1249,88.81200000000001
1250,86.41499999999999
1251,85.165
1252,86.83200000000001
1253,63.065000000000005
1254,60.25199999999999
1255,87.97800000000001
1256,86.83200000000001
1257,58.073
1258,59.532
1259,90.479
1260,94.12600000000002
1261,85.36300000000001
1262,87.97800000000001
1263,85.165
1264,107.77700000000002
1265,103.816
1266,89.01
1267,61.814
1268,106.188
1269,60.782000000000004
1270,86.613
1271,82.55000000000001
1272,82.35199999999999
1273,113.98200000000003
1274,86.83200000000001
1275,59.532
1276,60.25199999999999
1277,83.91499999999999
1278,84.61400000000002
1279,87.97800000000001
1280,59.532
1281,85.373
1282,62.032999999999994
1283,59.532
1284,85.269
1285,60.366
1286,60.57399999999999
1287,55.354
1288,61.814
1289,56.51
1290,89.228
1291,84.019
1292,84.33100000000002
1293,107.959
1294,85.05100000000002
1295,84.19200000000001
1296,86.83200000000001
1297,83.575
1298,88.91599999999998
1299,59.323
1300,84.74900000000001
1301,87.97800000000001
1302,107.959
1303,95.25200000000001
1304,62.032999999999994
1305,60.57399999999999
1306,87.97800000000001
1307,59.11599999999999
1308,87.97800000000001
1309,56.187999999999995
1310,108.68900000000001
1311,58.282
1312,56.30299999999999
1313,87.56200000000001
1314,62.032999999999994
1315,108.79300000000002
1316,60.57399999999999
1317,110.772
1318,81.102
1319,84.33100000000002
1320,55.052
1321,81.414
1322,57.657
1323,62.032999999999994
1324,59.323
1325,107.85500000000002
1326,87.666
1327,56.718999999999994
1328,57.657
1329,88.59400000000001
1330,104.10400000000001
1331,60.147999999999996
1332,91.511
1333,87.97800000000001
1334,88.81200000000001
1335,88.59400000000001
1336,84.53
1337,88.812
1338,59.532
1339,87.56200000000001
1340,86.09300000000002
1341,81.414
1342,91.209
1343,82.446
1344,56.30299999999999
1345,62.032999999999994
1346,85.16499999999999
1347,86.41499999999999
1348,85.05100000000002
1349,88.89600000000002
1350,82.72300000000001
1351,82.22200000000001
1352,58.282
1353,90.479
1354,108.68799999999999
1355,91.72899999999998
1356,86.83200000000001
1357,85.06100000000002
1358,110.772
1359,83.91499999999999
1360,57.76099999999999
1361,87.666
1362,99.28500000000003
1363,59.21999999999999
1364,90.479
1365,111.60600000000001
1366,81.414
1367,87.44699999999999
1368,85.373
1369,48.17399999999999
1370,50.88199999999999
1371,73.911
1372,50.465999999999994
1373,85.06100000000002
1374,58.073
1375,84.33100000000002
1376,90.06200000000001
1377,107.95799999999998
1378,89.228
1379,90.479
1500,56.30299999999999
1501,91.72899999999998
1502,54.833999999999996
1503,96.19000000000001
1504,81.102
1505,83.91499999999999
1506,57.657
1507,106.188
1508,86.19699999999999
1509,59.532
1510,82.35199999999999
1511,59.11599999999999
1512,59.532
1513,61.605999999999995
1514,77.43
1515,56.615
1516,84.019
1517,60.25199999999999
1518,52.342999999999996
1519,55.052
1520,84.33100000000002
1521,58.073
1522,109.001
1523,86.83200000000001
1524,62.032999999999994
1525,62.032999999999994
1526,86.83200000000001
1527,56.615
1528,60.147999999999996
1529,82.446
1530,62.032999999999994
1531,85.06100000000002
1532,81.102
1533,88.59400000000001
1534,86.83200000000001
1535,81.51800000000001
1536,62.032999999999994
1537,84.53
1538,56.30299999999999
1539,87.97800000000001
1540,85.269
1541,84.51299999999999
1542,84.019
1543,85.36300000000001
1544,60.57399999999999
1545,53.802
1546,82.55000000000001
1547,86.83200000000001
1548,82.743
1549,56.30299999999999
1550,86.41499999999999
1551,85.36300000000001
1552,88.59400000000001
1553,108.991
1554,110.772
1555,82.768
1556,56.718999999999994
1557,66.161
1558,60.366
1559,90.479
1560,59.11599999999999
1561,90.479
1562,60.47
1563,84.33100000000002
1564,59.11599999999999
1565,56.615
1566,112.95000000000002
1567,86.83200000000001
1568,87.56200000000001
1569,84.947
1570,57.76099999999999
1571,59.21999999999999
1572,105.45800000000001
1573,89.948
1574,56.30299999999999
1575,56.718999999999994
1576,87.666
1577,56.718999999999994
1578,87.864
1579,91.72899999999998
1580,60.366
1581,87.56200000000001
1582,83.707
1583,88.08200000000001
1584,110.772
1585,88.08200000000001
1586,80.24300000000001
1587,61.17999999999999
1588,88.698
1589,85.05100000000002
1590,84.019
1591,59.626000000000005
1592,87.666
1593,111.50200000000001
1594,85.05100000000002
1595,87.666
1596,87.97800000000001
1597,59.532
1598,87.64500000000001
1599,86.83200000000001
1600,87.011
1601,106.49000000000001
1602,83.8
1603,62.032999999999994
1604,59.001
1605,81.51800000000001
1606,84.33100000000002
1607,111.91800000000002
1608,59.532
1609,87.666
1610,63.282999999999994
1611,59.532
1612,85.64600000000002
1613,87.97800000000001
1614,86.83200000000001
1615,91.511
1616,88.08200000000001
1617,86.83200000000001
1618,84.33100000000002
1619,61.879
1620,84.019
1621,80.34700000000001
1622,86.39500000000001
1623,87.666
1624,86.83200000000001
1625,85.269
1626,59.532
1627,62.032999999999994
1628,83.91499999999999
1629,84.019
1630,60.782000000000004
1631,116.842
