,2,Cost,RT
1,128.0,6.924444444444444,3300.6843333333322
2,320.0,7.168888888888889,1359.0261111111108
3,512.0,7.635555555555556,858.6677777777778
4,704.0,7.862222222222222,647.8735555555553
5,896.0,6.706666666666666,523.8174444444444
6,1088.0,8.093333333333334,438.8821111111111
7,1280.0,7.168888888888889,381.55911111111106
8,1472.0,8.208888888888888,350.1447777777778
9,1664.0,9.25222222222222,327.4314444444444
10,1856.0,10.292222222222222,307.3074444444444
11,2048.0,11.335555555555556,304.4395555555555
12,2240.0,12.37888888888889,302.985
13,2432.0,13.418888888888887,304.06533333333334
14,2624.0,14.462222222222223,307.0025555555555
15,2816.0,15.502222222222223,306.5093333333333
16,3008.0,16.545555555555556,303.3235555555556
