,1,2,Cost,RT
1,128.0,128.0,20.088888888888892,9412.33622222222
2,128.0,320.0,20.333333333333336,7470.678000000001
3,128.0,512.0,20.800000000000004,6970.319666666667
4,128.0,704.0,21.026666666666667,6759.525444444445
5,128.0,896.0,19.871111111111112,6635.469333333333
6,128.0,1088.0,21.25777777777778,6550.534000000001
7,128.0,1280.0,20.333333333333336,6493.211
8,128.0,1472.0,21.373333333333335,6461.796666666667
9,128.0,1664.0,22.416666666666664,6439.083333333334
10,128.0,1856.0,23.456666666666667,6418.959333333334
11,128.0,2048.0,24.500000000000004,6416.091444444445
12,128.0,2240.0,25.543333333333337,6414.636888888889
13,128.0,2432.0,26.583333333333332,6415.7172222222225
14,128.0,2624.0,27.626666666666672,6418.654444444445
15,128.0,2816.0,28.666666666666668,6418.161222222223
16,128.0,3008.0,29.709999999999997,6414.975444444445
17,320.0,128.0,19.88222222222222,5687.896
18,320.0,320.0,20.126666666666665,3746.237777777778
19,320.0,512.0,20.59333333333333,3245.879444444445
20,320.0,704.0,20.82,3035.0852222222225
21,320.0,896.0,19.66444444444444,2911.0291111111114
22,320.0,1088.0,21.051111111111112,2826.093777777778
23,320.0,1280.0,20.126666666666665,2768.7707777777778
24,320.0,1472.0,21.166666666666664,2737.3564444444446
25,320.0,1664.0,22.21,2714.6431111111115
26,320.0,1856.0,23.25,2694.519111111111
27,320.0,2048.0,24.293333333333333,2691.6512222222223
28,320.0,2240.0,25.336666666666662,2690.1966666666667
29,320.0,2432.0,26.376666666666665,2691.277
30,320.0,2624.0,27.419999999999998,2694.2142222222224
31,320.0,2816.0,28.46,2693.721
32,320.0,3008.0,29.503333333333334,2690.5352222222223
33,512.0,128.0,20.12,4746.555666666666
34,512.0,320.0,20.364444444444445,2804.8974444444443
35,512.0,512.0,20.831111111111113,2304.539111111111
36,512.0,704.0,21.057777777777776,2093.744888888889
37,512.0,896.0,19.90222222222222,1969.6887777777774
38,512.0,1088.0,21.28888888888889,1884.7534444444443
39,512.0,1280.0,20.364444444444445,1827.4304444444442
40,512.0,1472.0,21.404444444444444,1796.016111111111
41,512.0,1664.0,22.447777777777773,1773.3027777777777
42,512.0,1856.0,23.48777777777778,1753.1787777777777
43,512.0,2048.0,24.531111111111112,1750.3108888888887
44,512.0,2240.0,25.574444444444445,1748.8563333333332
45,512.0,2432.0,26.614444444444445,1749.9366666666665
46,512.0,2624.0,27.65777777777778,1752.8738888888888
47,512.0,2816.0,28.697777777777777,1752.3806666666665
48,512.0,3008.0,29.741111111111106,1749.1948888888887
49,704.0,128.0,19.88,4330.1596666666655
50,704.0,320.0,20.124444444444443,2388.5014444444437
51,704.0,512.0,20.591111111111108,1888.143111111111
52,704.0,704.0,20.817777777777778,1677.3488888888885
53,704.0,896.0,19.66222222222222,1553.2927777777772
54,704.0,1088.0,21.04888888888889,1468.3574444444441
55,704.0,1280.0,20.124444444444443,1411.034444444444
56,704.0,1472.0,21.16444444444444,1379.6201111111109
57,704.0,1664.0,22.20777777777778,1356.9067777777775
58,704.0,1856.0,23.247777777777777,1336.7827777777775
59,704.0,2048.0,24.29111111111111,1333.9148888888885
60,704.0,2240.0,25.33444444444444,1332.460333333333
61,704.0,2432.0,26.374444444444443,1333.5406666666663
62,704.0,2624.0,27.417777777777776,1336.4778888888886
63,704.0,2816.0,28.45777777777778,1335.9846666666663
64,704.0,3008.0,29.50111111111111,1332.7988888888885
65,896.0,128.0,20.115555555555556,4129.614555555555
66,896.0,320.0,20.36,2187.956333333333
67,896.0,512.0,20.826666666666668,1687.598
68,896.0,704.0,21.05333333333333,1476.8037777777777
69,896.0,896.0,19.897777777777776,1352.7476666666664
70,896.0,1088.0,21.284444444444446,1267.812333333333
71,896.0,1280.0,20.36,1210.4893333333332
72,896.0,1472.0,21.4,1179.0749999999998
73,896.0,1664.0,22.443333333333328,1156.3616666666665
74,896.0,1856.0,23.483333333333334,1136.2376666666664
75,896.0,2048.0,24.526666666666667,1133.3697777777775
76,896.0,2240.0,25.57,1131.915222222222
77,896.0,2432.0,26.609999999999996,1132.9955555555553
78,896.0,2624.0,27.653333333333336,1135.9327777777776
79,896.0,2816.0,28.69333333333333,1135.4395555555552
80,896.0,3008.0,29.73666666666666,1132.2537777777775
81,1088.0,128.0,22.88888888888889,4096.19811111111
82,1088.0,320.0,23.133333333333333,2154.5398888888885
83,1088.0,512.0,23.6,1654.1815555555554
84,1088.0,704.0,23.826666666666668,1443.3873333333331
85,1088.0,896.0,22.67111111111111,1319.3312222222216
86,1088.0,1088.0,24.05777777777778,1234.3958888888885
87,1088.0,1280.0,23.133333333333333,1177.0728888888887
88,1088.0,1472.0,24.173333333333336,1145.6585555555553
89,1088.0,1664.0,25.216666666666665,1122.945222222222
