Function,Memory Size,Max Memory Used,Duration,Billed Duration,UTCTimestamp,RequestId
f1,1536,59,408.73,500,1580371006.0,0e5d3f6d-5115-4946-bfe4-88f78f2ff84a
f1,1536,59,422.39,500,1580371016.0,1e65edb1-e00d-44b6-af56-479ad2fd3623
f1,1536,59,428.07,500,1580371026.0,daae8bde-be0c-42c2-8832-90c3913026be
f1,1536,59,721.9,800,1580371037.0,9d07dbb3-a80f-4041-8180-7f66ec83f3c5
f1,1536,59,723.92,800,1580371047.0,670cbd26-c18b-404b-a54f-aede5d9fbcbf
f1,1536,59,728.34,800,1580371057.0,faefeaf8-dd95-4c95-8262-89dd69fe460b
f1,1536,59,717.17,800,1580371067.0,d9d06910-ea53-4606-8c79-644665753a71
f1,1536,59,727.24,800,1580371077.0,8e1fec87-06bb-4f38-ae73-ebc8f110646f
f1,1536,59,717.83,800,1580371088.0,68b7267a-b3db-4c19-be60-4891df531dfd
f1,1536,59,719.0,800,1580371098.0,e1723943-9cbb-435f-b78a-8b6e1fd6c528
f1,1536,59,809.56,900,1580371108.0,8d9b8d56-af25-49ae-bfb4-31cbf200129c
f1,1536,59,714.32,800,1580371118.0,c253a8d4-ae86-4783-b737-f7827f133dd0
f1,1536,59,729.32,800,1580371128.0,ff68d9dc-44e9-43b0-b46f-75fb3781ebe9
f1,1536,59,711.02,800,1580371138.0,3d0caa00-58dc-4db4-9a56-fbec7830ca53
f1,1536,59,812.0,900,1580371149.0,cd526cc7-74c9-49f2-9026-445119869165
f1,1536,59,808.17,900,1580371159.0,de9fca96-dbbb-441f-b036-52de22a0a8df
f1,1536,59,733.56,800,1580371169.0,74be8a83-7f8e-4932-92aa-df056030941f
f1,1536,59,723.59,800,1580371179.0,52bc3ab3-c5d9-4292-91ae-f81685150a0e
f1,1536,59,725.15,800,1580371189.0,bda1cf23-4918-4152-8b96-16681c3483c5
f1,1536,59,741.15,800,1580371199.0,73dc0a73-ffa4-41d7-896f-a2c27e7b2e8d
f1,1536,59,730.6,800,1580371210.0,95b8c6d5-96f5-44db-876c-bc9362f189aa
f1,1536,60,809.39,900,1580371220.0,a608c4b6-786c-47ce-b5d6-86d67b0a64cf
f1,1536,60,730.23,800,1580371230.0,73bf16b7-15db-40a4-9526-c3fe2ef81cea
