,1M_Exe_Cost
60,97.32900000000001
61,86.613
62,171.34599999999998
63,134.38899999999998
64,137.62099999999995
65,125.74300000000002
66,110.77099999999999
67,146.275
68,101.71500000000002
69,93.06800000000001
70,130.237
71,89.228
72,131.896
73,90.767
74,86.727
75,126.704
76,161.234
77,136.58599999999998
78,96.52199999999999
79,101.29199999999999
80,141.588
81,133.75799999999998
82,140.442
83,125.16099999999999
84,159.891
85,86.301
86,130.247
87,95.88100000000001
88,135.85799999999998
89,92.234
90,92.234
91,95.985
92,121.78399999999999
93,143.652
94,138.77499999999998
95,99.632
96,95.15100000000001
97,95.15100000000001
98,152.198
99,139.807
100,138.671
101,88.08200000000001
102,102.44500000000001
103,142.61999999999998
104,89.42099999999999
105,145.12900000000002
106,94.005
107,131.62099999999998
108,88.08200000000001
109,88.812
110,149.281
111,95.15100000000001
112,95.141
113,155.434
114,98.798
115,95.15100000000001
116,95.985
117,97.64200000000001
118,95.15100000000001
119,142.316
120,200.36599999999999
121,92.234
122,197.576
123,98.37400000000001
124,153.23
125,153.969
126,96.183
127,92.33800000000001
128,153.23
129,138.77499999999998
130,96.183
131,147.19699999999997
132,185.06000000000003
133,91.72899999999998
134,97.215
135,92.234
136,95.15100000000001
137,143.652
138,95.88100000000001
139,128.244
140,156.792
141,179.16899999999998
142,98.97700000000002
143,92.234
144,88.91599999999998
145,99.528
146,160.50299999999993
147,95.15100000000001
148,173.41800000000003
149,138.77499999999998
150,98.798
151,135.85799999999998
152,92.234
153,89.42099999999999
154,149.81900000000002
155,95.985
156,95.88100000000001
157,134.519
158,98.798
159,90.453
160,92.234
161,135.85799999999998
162,131.602
163,98.798
164,95.15100000000001
165,98.382
166,138.671
167,95.15100000000001
168,88.91599999999998
169,95.15100000000001
170,133.666
171,95.985
172,89.42099999999999
173,92.33800000000001
174,140.13
175,142.61999999999998
176,88.08200000000001
177,146.468
178,154.08299999999997
179,95.88100000000001
180,128.244
181,100.56199999999998
182,95.985
183,96.183
184,97.017
185,175.306
186,173.847
187,93.06800000000001
188,152.511
189,181.33100000000002
190,167.07500000000002
191,89.733
192,95.15100000000001
193,95.15100000000001
194,95.985
195,95.985
196,97.017
197,85.16499999999999
198,87.031
199,163.225
200,98.798
201,151.345
202,92.33800000000001
203,85.16499999999999
204,139.399
205,137.31599999999997
206,93.275
207,142.316
208,95.15100000000001
209,92.33800000000001
210,88.08200000000001
211,174.26399999999998
212,138.77499999999998
213,110.46900000000001
214,92.33800000000001
215,94.298
216,168.221
217,152.198
218,85.16499999999999
219,89.42099999999999
220,135.85799999999998
221,96.799
222,207.13100000000003
223,97.747
224,138.671
225,99.83
226,96.183
227,150.739
228,93.26599999999999
229,88.08200000000001
230,93.26599999999999
231,181.644
232,135.85799999999998
233,93.26599999999999
234,92.33800000000001
235,89.42099999999999
236,146.468
237,92.01199999999999
238,124.87999999999998
239,146.468
240,88.08200000000001
241,113.27199999999998
242,97.95400000000001
243,95.985
244,96.915
245,95.88100000000001
246,138.671
247,93.06800000000001
248,144.81799999999998
249,148.359
250,95.985
251,141.588
252,163.12000000000003
253,92.33800000000001
254,157.199
255,96.92200000000001
256,135.85799999999998
257,97.95400000000001
258,197.13400000000001
259,152.92600000000002
260,140.546
261,98.798
262,172.066
263,170.09599999999998
264,91.72899999999998
265,99.52699999999999
266,89.42099999999999
267,138.77499999999998
268,107.64599999999997
269,95.88100000000001
270,160.308
271,92.33800000000001
272,92.33800000000001
273,94.839
274,95.985
275,100.56899999999999
276,117.92900000000002
277,96.183
278,141.588
279,96.92200000000001
280,141.588
281,95.88100000000001
282,95.985
283,89.42099999999999
284,141.90099999999998
285,93.37
286,131.706
287,143.652
288,161.662
289,92.33800000000001
290,93.06800000000001
291,96.715
292,91.72899999999998
293,94.73500000000001
294,95.03699999999999
295,180.799
296,111.29299999999999
297,135.85799999999998
298,94.10000000000001
299,113.27199999999998
300,85.269
301,129.06
302,140.442
303,138.77499999999998
304,104.11099999999999
305,91.72899999999998
306,93.37
307,100.45800000000001
308,98.798
309,134.519
310,131.706
311,142.00499999999997
312,95.88100000000001
313,92.33800000000001
314,181.11100000000002
315,202.25100000000003
316,98.798
317,152.198
318,95.985
319,82.35199999999999
320,98.798
321,128.78900000000002
322,152.61499999999998
323,138.671
324,95.985
325,89.114
326,157.738
327,95.985
328,91.71
329,92.234
330,89.42099999999999
331,95.985
332,141.871
333,92.234
334,91.72899999999998
335,102.33999999999999
336,151.05200000000002
337,91.72899999999998
338,96.91300000000001
339,122.44200000000001
340,135.85799999999998
341,85.999
342,89.42099999999999
343,146.589
344,95.15100000000001
345,152.89699999999993
346,128.78900000000002
347,216.28200000000004
348,141.588
349,85.16499999999999
350,143.359
351,158.10999999999999
352,104.009
353,95.88100000000001
354,96.10600000000001
355,164.511
356,135.85799999999998
357,138.77499999999998
358,92.234
359,139.70299999999997
360,152.89699999999993
361,96.80799999999998
362,97.017
363,93.06800000000001
364,97.64200000000001
365,131.706
366,121.937
367,138.77499999999998
368,92.33800000000001
369,131.706
370,95.985
371,141.588
372,83.38399999999999
373,95.15100000000001
374,140.546
375,121.78399999999999
376,88.08200000000001
377,141.588
378,103.47700000000002
379,97.95400000000001
380,95.15100000000001
381,124.597
382,130.247
383,91.72899999999998
384,129.17399999999998
385,85.999
386,104.407
387,100.56899999999999
388,145.12900000000002
389,88.812
390,88.91599999999998
391,134.696
392,136.77399999999997
393,96.91300000000001
394,88.91599999999998
395,99.83
396,88.08200000000001
397,92.33800000000001
398,135.54499999999996
399,98.798
400,89.42099999999999
401,98.798
402,152.198
403,91.72899999999998
404,166.455
405,98.798
406,142.61999999999998
407,162.80800000000002
408,145.12900000000002
409,138.77499999999998
410,92.563
411,149.385
412,99.632
413,92.234
414,137.01999999999998
415,140.546
416,135.85799999999998
417,159.891
418,154.04299999999992
419,95.88100000000001
420,143.348
421,91.72899999999998
422,142.00499999999997
423,159.99499999999998
424,159.99499999999998
425,98.798
426,95.985
427,124.597
428,125.327
429,96.91300000000001
430,98.798
431,181.215
432,95.985
433,160.50299999999993
434,96.91300000000001
435,95.15100000000001
436,138.671
437,141.396
438,174.15
439,134.39899999999997
440,128.12999999999997
441,92.234
442,93.06800000000001
443,141.90099999999998
444,129.911
445,142.316
446,116.919
447,145.546
448,95.985
449,140.442
450,225.54500000000002
451,98.798
452,191.83100000000005
453,150.853
454,94.40200000000002
455,135.43099999999998
456,91.72899999999998
457,85.999
458,95.985
459,92.234
460,139.70299999999997
461,97.75599999999999
462,159.891
463,132.738
464,141.588
465,106.092
466,97.652
467,99.632
468,93.26599999999999
469,134.83200000000002
470,98.798
471,126.368
472,141.588
473,113.386
474,96.92200000000001
475,100.56899999999999
476,98.798
477,131.602
478,141.588
479,82.35199999999999
480,92.33800000000001
481,159.813
482,95.88100000000001
483,85.999
484,95.141
485,98.798
486,137.62900000000002
487,95.985
488,141.588
489,98.798
490,137.749
491,128.244
492,125.327
493,135.545
494,138.77499999999998
495,128.476
496,89.42099999999999
497,131.706
498,134.519
499,91.72899999999998
500,85.999
501,145.12900000000002
502,139.08799999999997
503,128.244
504,146.161
505,134.936
506,93.06800000000001
507,162.21
508,141.588
