Start,End
1580371005.928,1580371009.137
1580371016.103,1580371019.237
1580371026.29,1580371029.037
1580371036.468,1580371039.536
1580371046.583,1580371050.377
1580371056.812,1580371060.158
1580371066.974,1580371070.357
1580371077.165,1580371080.238
1580371087.335,1580371090.397
1580371097.485,1580371100.537
1580371107.65,1580371111.817
1580371117.798,1580371121.017
1580371127.939,1580371131.097
1580371138.157,1580371142.898
1580371148.293,1580371151.478
1580371158.446,1580371161.658
1580371168.633,1580371171.718
1580371178.795,1580371181.877
1580371188.939,1580371192.339
1580371199.111,1580371203.538
1580371209.296,1580371212.339
1580371219.419,1580371222.598
1580371229.592,1580371233.078
1580371239.731,1580371242.499
1580371250.132,1580371253.199
1580371260.315,1580371263.779
1580371270.539,1580371276.019
1580371280.752,1580371284.979
1580371290.924,1580371295.08
1580371301.109,1580371303.879
1580371311.278,1580371314.38
1580371321.507,1580371325.119
1580371331.722,1580371334.762
1580371341.878,1580371344.959
1580371352.041,1580371355.299
1580371362.239,1580371365.819
1580371372.418,1580371375.6
1580371382.647,1580371385.82
1580371392.842,1580371395.939
1580371403.045,1580371406.16
1580371413.257,1580371418.14
1580371423.492,1580371426.68
1580371433.673,1580371437.101
1580371443.902,1580371447.101
1580371454.089,1580371457.24
1580371464.291,1580371467.38
1580371474.484,1580371478.661
1580371484.679,1580371487.78
1580371495.096,1580371498.941
1580371505.249,1580371509.06
1580371515.487,1580371519.0
1580371525.623,1580371530.101
1580371535.833,1580371538.741
1580371546.082,1580371548.842
1580371556.259,1580371559.601
1580371566.404,1580371569.581
1580371576.59,1580371581.701
1580371586.773,1580371593.562
1580371596.915,1580371602.322
1580371607.068,1580371610.301
1580371617.251,1580371620.702
1580371627.414,1580371630.523
1580371637.586,1580371642.362
1580371647.731,1580371651.242
1580371657.907,1580371661.222
1580371668.057,1580371672.842
1580371678.221,1580371682.422
1580371688.398,1580371692.422
1580371698.581,1580371701.683
1580371708.73,1580371711.882
1580371718.899,1580371722.543
1580371729.085,1580371731.89
1580371739.508,1580371743.224
1580371749.672,1580371753.002
1580371759.85,1580371762.523
1580371770.007,1580371773.143
1580371780.176,1580371784.943
1580371790.369,1580371793.443
1580371800.528,1580371803.304
1580371810.694,1580371814.165
1580371820.887,1580371824.203
1580371831.039,1580371836.324
1580371841.219,1580371844.504
1580371851.458,1580371854.764
1580371861.607,1580371866.124
1580371871.789,1580371875.004
1580371881.945,1580371885.164
1580371892.133,1580371895.304
1580371902.294,1580371905.604
1580371912.474,1580371915.666
1580371922.697,1580371925.944
1580371932.877,1580371936.065
1580371943.034,1580371947.884
1580371953.194,1580371957.205
1580371963.362,1580371966.585
1580371973.539,1580371976.686
1580371984.046,1580371987.244
1580371994.21,1580371997.366
