Start,End
1580171592.913,1580171596.299
1580171603.077,1580171605.239
1580171613.24,1580171615.8
1580171623.441,1580171625.619
1580171633.583,1580171635.939
1580171643.79,1580171646.2
1580171653.924,1580171656.359
1580171664.108,1580171666.539
1580171674.294,1580171676.74
1580171684.482,1580171686.92
1580171694.644,1580171697.44
1580171704.845,1580171707.301
1580171714.982,1580171717.441
1580171725.172,1580171727.661
1580171735.295,1580171737.781
1580171745.469,1580171748.301
1580171755.628,1580171758.121
1580171765.763,1580171768.181
1580171775.923,1580171778.701
1580171786.09,1580171788.501
1580171796.274,1580171798.821
1580171806.403,1580171808.841
1580171816.569,1580171819.001
1580171826.738,1580171829.181
1580171837.202,1580171839.722
1580171847.368,1580171849.782
1580171857.568,1580171859.841
1580171867.717,1580171870.321
1580171877.907,1580171880.502
1580171888.112,1580171890.382
1580171898.256,1580171900.562
1580171908.425,1580171910.802
1580171918.642,1580171920.982
1580171928.811,1580171931.903
1580171939.012,1580171941.322
1580171949.197,1580171951.522
1580171959.444,1580171962.203
1580171969.62,1580171971.984
1580171979.755,1580171982.162
1580171989.977,1580171992.464
1580172000.18,1580172002.683
1580172010.37,1580172014.363
1580172020.547,1580172022.988
1580172030.737,1580172033.224
1580172040.914,1580172043.404
1580172051.067,1580172054.363
1580172061.278,1580172064.183
1580172071.422,1580172074.203
1580172081.86,1580172084.703
1580172092.079,1580172094.664
1580172102.216,1580172104.703
1580172112.406,1580172114.923
1580172122.694,1580172125.204
1580172132.893,1580172136.349
1580172143.049,1580172145.623
1580172153.234,1580172155.783
1580172163.443,1580172165.925
1580172173.611,1580172176.125
1580172183.849,1580172186.744
1580172194.022,1580172196.607
1580172204.192,1580172206.684
1580172214.375,1580172217.225
1580172224.56,1580172227.084
1580172234.714,1580172237.224
1580172244.891,1580172247.325
1580172255.112,1580172257.624
1580172265.289,1580172267.724
1580172275.482,1580172278.025
1580172285.691,1580172288.245
1580172295.895,1580172299.489
1580172306.074,1580172308.585
1580172316.276,1580172318.805
1580172326.778,1580172329.526
1580172336.948,1580172339.406
1580172347.114,1580172350.007
1580172357.314,1580172360.046
1580172367.46,1580172369.966
1580172377.648,1580172380.527
1580172387.802,1580172390.306
1580172397.957,1580172400.506
1580172408.106,1580172411.365
1580172418.307,1580172420.846
1580172428.468,1580172433.067
1580172438.625,1580172442.587
1580172448.771,1580172451.166
1580172458.953,1580172461.486
1580172469.093,1580172471.906
1580172479.315,1580172482.926
1580172489.493,1580172493.066
1580172499.678,1580172502.588
1580172509.87,1580172512.447
1580172520.0,1580172522.527
1580172530.173,1580172532.688
1580172540.356,1580172542.908
1580172550.538,1580172552.947
1580172560.715,1580172564.267
1580172571.19,1580172573.627
1580172581.361,1580172583.927
1580172591.533,1580172594.487
1580172601.811,1580172604.31
1580172612.042,1580172614.528
1580172622.148,1580172624.669
1580172632.326,1580172634.748
1580172642.504,1580172645.227
1580172652.647,1580172655.088
1580172662.902,1580172665.468
1580172672.997,1580172675.809
1580172683.164,1580172686.088
1580172693.303,1580172695.81
