Function,Memory Size,Max Memory Used,Duration,Billed Duration,UTCTimestamp,RequestId
f1,1536,59,434.62,500,1580171593.0,b6832481-dfe5-4340-8dbd-aad8ee45058f
f1,1536,59,401.1,500,1580171603.0,221ac0c1-c460-4b72-9682-8a44551a94cb
f1,1536,59,404.54,500,1580171613.0,1bf74a0e-5855-4472-b808-8321e5cb7e19
f1,1536,59,454.69,500,1580171623.0,abde0193-cfaa-44b2-af15-be6ccc70c7bf
f1,1536,59,614.3,700,1580171634.0,ff5b74ff-f329-47f6-87ae-375ded16244e
f1,1536,59,611.28,700,1580171644.0,7ef23098-a0ea-4a1a-a4bc-bc1925035570
f1,1536,59,714.16,800,1580171654.0,e50ac810-cace-46bb-a37b-2d1b6553733c
f1,1536,59,719.62,800,1580171664.0,2582d23e-1192-412f-8838-bc6e1c1a0dcc
f1,1536,59,728.52,800,1580171675.0,46ef3776-8fef-465f-85f1-d19095ec8b46
f1,1536,59,722.87,800,1580171685.0,d663d6d6-d97e-4544-9920-31c0a2898d16
f1,1536,59,747.66,800,1580171695.0,036b800d-5555-4ce5-97f4-9c1c5da8ece4
f1,1536,59,727.68,800,1580171705.0,d5275c35-558b-4f1a-aef1-47c7e8c8e871
f1,1536,59,719.87,800,1580171715.0,91c5835c-18c3-479c-b975-3e6c421e9b05
f1,1536,59,723.8,800,1580171725.0,794bee3e-872a-4d7a-9da3-c8d8d782d980
f1,1536,59,801.84,900,1580171736.0,efb5a3a1-c554-478f-b71c-b98437bfccd7
f1,1536,59,723.5,800,1580171746.0,4931cfe1-4f3e-4434-b55c-27e5b20f54f6
f1,1536,59,726.01,800,1580171756.0,2a102bde-5bd5-4667-a372-3cd805873ef3
f1,1536,59,725.2,800,1580171766.0,c7179e53-9a3d-4328-b348-6d40758f1262
f1,1536,59,728.34,800,1580171776.0,9f72e175-afa3-4cf4-b9a2-ec614f130000
f1,1536,59,732.63,800,1580171786.0,04c39ba9-4ca2-48ad-a9ce-492410b24c1a
f1,1536,59,818.67,900,1580171797.0,8583e3d0-6142-43f3-90e1-d084802cc142
f1,1536,59,727.46,800,1580171807.0,1b1283b7-aa1e-4b4e-9d66-877ecae30366
f1,1536,59,722.32,800,1580171817.0,87af45bb-94d8-4a8e-a2c0-f1a6550cb2ff
f1,1536,59,724.51,800,1580171827.0,e1f1bedd-290f-45a3-b502-07e0cc53d947
f1,1536,60,809.46,900,1580171838.0,fea3893a-00e2-4301-89e2-9fc2eac5c562
f1,1536,60,721.48,800,1580171848.0,3bb54c6c-8239-4208-afb1-48eb6937b07e
f1,1536,60,519.12,600,1580171858.0,eaf9c7ed-4e5f-4e52-9ff8-8401f4f9f642
f1,1536,60,509.1,600,1580171868.0,466f7035-a7e9-45cf-a270-57ecdd90575e
f1,1536,60,509.05,600,1580171878.0,3b8bb61c-540e-4faf-8f35-d9ea25b12645
f1,1536,60,537.51,600,1580171888.0,3a17b09b-3f44-4590-a0fd-0c6685f39b89
f1,1536,60,612.35,700,1580171898.0,90f8a674-95ed-4c9c-8b38-26bbdc51f262
f1,1536,60,620.61,700,1580171909.0,ab3cc7c2-5638-4ecf-a7cd-e7a9bab47268
f1,1536,60,618.26,700,1580171919.0,a4d472d3-63ad-45e2-af16-5c15e50de83e
f1,1536,60,634.84,700,1580171929.0,ee3659fb-f288-488f-9f46-a8ef8ebb9201
f1,1536,60,629.29,700,1580171939.0,1028e6cf-f133-41be-b3f4-a9d7fff3ea24
f1,1536,60,627.39,700,1580171949.0,ac52e0ac-0dc8-4519-90fe-31751cbb9583
f1,1536,60,626.7,700,1580171960.0,c34c7e8d-f2c7-4556-90ef-cebbf153c62e
f1,1536,60,627.28,700,1580171970.0,c88a75c1-4f4b-4f5b-adaa-f9d72b2540fb
f1,1536,60,628.07,700,1580171980.0,c087bc54-2510-4eba-8366-02d5b8daa3bf
f1,1536,60,734.13,800,1580171990.0,5340a990-93a3-4064-9c60-f9bf82592618
f1,1536,60,824.17,900,1580172001.0,bcef2ed4-f3d0-4cfc-802e-af109ecaa3b3
f1,1536,60,824.96,900,1580172011.0,2680f3f4-071d-43da-a6c3-aaeae9a7650e
f1,1536,60,735.1,800,1580172021.0,3cd284af-dd21-475b-9f79-2416ca0931a2
f1,1536,60,749.16,800,1580172031.0,47612dfd-49b5-452c-810b-1fe4eb307cc3
f1,1536,60,730.37,800,1580172041.0,2127f23e-c80f-4864-a4d0-f722c6b9dbb0
f1,1536,60,826.38,900,1580172051.0,db259fba-1f4b-4eb3-b120-2b4a929b4f3a
f1,1536,60,818.69,900,1580172062.0,3eaad02d-b036-46ca-a8a7-f4374a804e6a
f1,1536,60,730.53,800,1580172072.0,189808e2-a39c-44ab-b045-a9530fd2c9ed
f1,1536,60,822.49,900,1580172082.0,738d5c47-33c1-4fa2-a438-c96e653cd253
f1,1536,60,825.79,900,1580172092.0,078f2e8e-ecd5-4ac8-9088-1afe7eec0b92
f1,1536,60,735.91,800,1580172102.0,8663a560-a6eb-4fbe-89d5-fbfc2ebe0c49
f1,1536,60,828.02,900,1580172113.0,8a466570-4467-4103-a7b2-2d7fc97bacc1
f1,1536,60,821.07,900,1580172123.0,d88badde-bba6-4f2c-98fb-524599882ca1
f1,1536,60,824.43,900,1580172133.0,fa96e5c2-2486-44ab-a295-43413776be32
f1,1536,60,823.11,900,1580172143.0,f309fcbb-6232-4e44-99fb-760624c59e40
f1,1536,60,817.75,900,1580172154.0,cc435820-26bf-443b-b86e-83193d2774a4
f1,1536,60,810.23,900,1580172164.0,5a1e865a-2a9a-475d-ae1e-50f40cbd8c6d
f1,1536,60,818.14,900,1580172174.0,76384ddc-62cf-4fec-840e-2f8e0dc7b828
f1,1536,61,819.83,900,1580172184.0,83f1eaf9-7452-4cb8-a8e3-e2f963796797
f1,1536,61,828.03,900,1580172194.0,15a481b2-0103-4e28-980a-e64e992bebf7
f1,1536,61,744.03,800,1580172204.0,bf78b55f-932a-42b7-bdf7-e1ac7789d1f9
