Function,Memory Size,Max Memory Used,Duration,Billed Duration,RequestId
f2,3008,61,201.37,300,e248bb58-5eb1-4c28-a267-6d960abec62d
f2,3008,61,201.22,300,8c7d1e64-067c-4eff-91ec-54ccd513b2b1
f2,3008,61,204.05,300,1857d1bd-aa8c-4c92-aa96-d61ea3829009
f2,3008,61,201.03,300,d1d1e879-b5d3-4611-9270-cb9344731190
f2,3008,61,199.64,200,7b239d7c-3374-49a3-8f96-2d759fab2ed0
f2,3008,61,200.58,300,07ae82a3-c4b1-4bb0-8388-24b364c7c4ff
f2,3008,61,200.15,300,d18b7ae2-ce15-4fc0-aeb5-a460e2e361ab
f2,3008,61,203.68,300,d492452e-4079-4d24-b762-4b1988f1774c
f2,3008,61,210.29,300,b761746c-fcdb-4dc3-b22d-86ccbd42bc2c
f2,3008,61,199.8,200,55f8774a-a88f-40e7-8421-1ce821bb443b
f2,3008,61,202.99,300,b5575197-fa3a-43c0-bd2e-cac3e6ca13ac
f2,3008,61,201.5,300,df443d77-7b12-4f12-a58a-4bddedd6d356
f2,3008,61,198.79,200,c25156f6-3fd4-4f62-8d16-5bd660a71b6b
f2,3008,61,201.53,300,3e2f48fd-1825-47b4-ad8e-2cd19d1b9bdd
f2,3008,61,201.88,300,bccb1800-7a8b-492d-babf-ab3a081f4ce6
f2,3008,61,198.84,200,c072b81b-f2c3-4361-b19a-a7232a8d84ca
f2,3008,61,202.59,300,df142813-94c2-4207-83a1-7e0ae4139b0f
f2,3008,61,199.95,200,4df196db-e286-49c1-b192-828e801c9311
f2,3008,61,201.46,300,9f0bc124-58c2-42a3-bc93-2c12f611e180
f2,3008,61,197.75,200,59ca0d4f-b9fe-482b-b64b-9d198ff8d671
f2,3008,61,200.9,300,283c779c-5aac-4764-8925-54fef86638e4
f2,3008,61,200.66,300,5aaee43a-b726-4cd4-b35d-998a0f6ca757
f2,3008,61,200.08,300,fd41d264-b089-432c-8445-0952897bd87e
f2,3008,61,201.14,300,aebeae46-57a7-46fb-b5e9-8c4f55a6d990
f2,3008,61,199.42,200,5a550890-be5a-436d-9a8e-bff4cb6f39b6
f2,3008,61,201.47,300,a7489dda-25a0-49b6-9c58-706614fefef3
f2,3008,61,198.61,200,fb57b02e-0f0b-4310-8ee0-f4ad507b6211
f2,3008,61,202.11,300,09667642-ac20-480e-a2db-1f11f4dff2ff
f2,3008,61,197.87,200,b96793e4-3e73-46d0-a7f1-54291dfb791a
f2,3008,61,200.27,300,979e9048-743e-4b4f-aeb2-af7ac62c3ffb
f2,3008,61,202.78,300,d46379b0-d864-4f35-9cc9-33172891a096
f2,3008,61,200.89,300,1ae7b1ee-3caa-4924-9e98-efe6ab6a41d7
f2,3008,61,201.17,300,4ae99257-7c37-4c32-b83d-b5e298984d28
f2,3008,61,202.28,300,e5e9a3b6-45c9-4fa1-9fe0-8bdccb22f11c
f2,3008,61,200.18,300,25274621-43b7-4b88-becc-bb1162226729
f2,3008,61,199.63,200,e96812b5-5250-49a1-a6dc-d1e2f68e42a3
f2,3008,60,201.7,300,4865bfad-833e-421f-aae6-11130ac464f1
f2,3008,60,200.55,300,101c9f2d-cdd0-4db6-b04e-eb55b50f5dcf
f2,3008,60,200.49,300,d59710eb-700b-4e9a-bcd0-2b464c478f3b
f2,3008,60,200.6,300,96842501-bf41-4397-8b6e-907e6bb73fbd
f2,3008,60,199.53,200,36e12491-4b5e-436e-a647-ba7282c2a84b
f2,3008,60,201.63,300,03baa9d0-b5f9-42f4-87bd-1c38137cc3c3
f2,3008,60,200.34,300,809155f9-68c5-41ee-ad51-59130467c622
f2,3008,60,201.47,300,de754ec3-3b14-4a36-a7d8-0e43fa7be11d
f2,3008,60,200.1,300,3691a198-1d42-4d9a-ac1c-517f12393fd3
f2,3008,60,202.5,300,a178b95d-7512-4c9b-9db9-ac34db20de40
f2,3008,60,202.05,300,2e3b6df4-4c22-442c-8e72-ed1c378dbc5a
f2,3008,60,201.55,300,93d47dae-eca5-4610-8923-db2063a496b8
f2,3008,60,200.42,300,e483257a-bea0-42cc-a35e-095585c3be04
f2,3008,60,203.0,300,3cc376f0-991b-467a-8f9b-962868803c89
f2,3008,60,201.64,300,b100bcda-3f6d-4d69-8c7c-5280273107a8
f2,3008,60,199.85,200,56c8ef7b-78d6-4897-ba36-93408b477fd4
f2,3008,60,200.16,300,4c1090dd-2d1b-4fa1-9f83-6ab9721eec8a
f2,3008,60,200.29,300,5e84b148-8011-4f63-b4d0-458bfdd94fc8
f2,3008,60,200.87,300,dc9616d2-027c-4148-9071-ad3a65f472d5
f2,3008,60,198.17,200,c3c81bed-dc77-4dde-bad8-0a476ce1c8f8
f2,3008,60,202.38,300,c56c8e17-17ea-4dfa-bbf9-cb76c2cc0c5c
f2,3008,60,202.78,300,2b87560a-2089-49cd-981b-60173b82ebfc
f2,3008,60,202.65,300,5409e325-c3be-4c0b-adba-452010578329
f2,3008,60,202.15,300,562d2f70-021b-4f83-b1bb-3f83edc8b452
f2,3008,60,201.52,300,c3c8d692-75bf-49bf-9a39-08faece10a39
f2,3008,60,198.32,200,67dca555-f314-4d58-8ce4-35b64b24a00b
f2,3008,60,202.16,300,5734e1af-0a7f-4439-902a-c3a1060deb6c
f2,3008,60,203.41,300,016651cc-da8d-431a-acbe-145a72be92d3
f2,3008,60,197.69,200,863bf198-12ad-485d-901f-0f6b6462b750
f2,3008,60,198.39,200,e97de133-7454-4635-b177-282b7240e110
f2,3008,59,197.97,200,147463c7-f926-47e7-9995-6c0ba77cf6fe
f2,3008,59,198.93,200,f88963fd-d46f-40d8-8783-49206c46bea0
f2,3008,59,200.72,300,ac5ae9e2-cd63-4cc6-96cf-247c2cd5c26a
f2,3008,59,202.27,300,c9cc08a5-1e33-4d3a-b037-b2ab0e069ce1
f2,3008,59,198.75,200,2a38ad59-795a-4837-b51c-c9cc3f37f346
f2,3008,59,198.23,200,17ae3c23-6e3e-4cef-a4ea-870a6d41c4e0
f2,3008,59,201.03,300,dfbfc8d9-a39a-49bb-b8d6-1b0e0279dbdb
f2,3008,59,198.79,200,240cb13d-90f3-46b3-8cbd-81d999b067a3
f2,3008,59,200.06,300,bde745b7-75e4-4daa-ba59-5380ab427f73
f2,3008,59,199.69,200,0e5ce52e-0435-482f-abc3-c4a7e7d0d582
f2,3008,59,200.54,300,03b8e24a-84bb-4252-9373-77a56d522c73
f2,3008,59,202.51,300,32d207ac-ab5c-45ea-89ee-e659201497a1
f2,3008,59,199.12,200,68f1f8c6-4c6b-4394-850a-1a17fac06813
f2,3008,59,198.11,200,03f1f73a-83d4-4e44-adbf-827ddcb1b567
f2,3008,59,200.27,300,1149d12d-e9ad-4efc-932b-64453d2c8404
f2,3008,59,197.73,200,4eeb4345-0f8a-4f50-a046-b2055e7c941c
f2,3008,59,201.23,300,158c606e-9d08-4dc2-b907-c68c3e610f56
f2,3008,59,198.81,200,0fd0f315-de4c-4414-aa99-6fcab197b977
f2,3008,59,200.37,300,d2c3a0af-f855-4610-8bbb-5bd44b174f00
f2,3008,59,200.38,300,483c7249-c384-444e-8bf3-ae0a2f0c34aa
f2,3008,59,199.56,200,b36ee305-1d9a-40c4-92f7-81af1e86de53
f2,3008,59,198.12,200,214f51bb-e2d0-4640-afb3-4e717bc60cde
f2,3008,59,198.96,200,61577117-565a-4e49-bb64-26695869156e
f2,3008,59,199.69,200,1911b881-aea5-4718-9dac-c182b58074a1
f2,3008,59,199.81,200,fb3635b6-a1a3-4455-a6a8-41c23aa0d90c
f2,3008,59,200.19,300,e37c140a-9428-406d-bf97-da97d6a9355f
f2,3008,59,201.38,300,beabc888-f59c-4d95-9421-557e1d73c5e7
f2,3008,59,200.3,300,e7cce6ce-7fb7-4616-9293-95edec521d90
f2,3008,59,202.96,300,7af7dfe2-eb65-4409-ad01-85fee287a8e5
f2,3008,59,200.73,300,0af12d84-4287-498e-9b64-128f7430d1c8
f2,3008,59,198.46,200,ad81edfa-d0a1-4bee-b288-7f528a5569ab
f2,3008,58,197.2,200,7ce5a17a-c11e-4a59-b4ee-cbf1e5e03836
f2,3008,58,198.79,200,1868daf6-684c-4a1e-aaf9-806c072ac012
f2,3008,58,200.85,300,1505fe5b-dd19-430b-be46-ec9e91bdbc74
f2,2944,61,202.96,300,bb23ff9a-9ca8-4d67-884f-ec21b96e5912
f2,2944,61,201.84,300,ff34e6f5-4988-4a4a-803e-e12c03874f9d
f2,2944,61,198.44,200,8b08e302-1ae1-4b68-99ee-9a8e0b3af52c
f2,2944,61,200.07,300,1949a6d5-5459-42fa-a220-e962bd4e75b9
f2,2944,61,199.71,200,32503baf-d022-4477-aeaa-dfb600ddbe28
f2,2944,61,199.66,200,fb2efbdf-79db-4bfb-857d-302b2c2c4295
f2,2944,61,202.19,300,ab4c5b67-24d4-48e3-a883-ea9d4235050d
f2,2944,61,199.41,200,454ff98b-2fff-4cd8-bd0b-1b1c5273eb29
f2,2944,61,202.03,300,f9d2e21f-11f2-4016-9904-1c7087ecda8d
f2,2944,61,200.42,300,cb9e61e2-95de-485a-bcb1-7187648507e2
f2,2944,61,202.94,300,d60ebff0-d7bb-4ccb-b01e-1cf0b3013309
f2,2944,61,201.49,300,11c7497d-44a3-4759-a452-1b1005648908
f2,2944,61,202.28,300,ef602273-868a-4e8c-9b7d-06325e3e2c94
f2,2944,61,201.36,300,ba5ee5af-9098-47a3-9f6c-c7f8ad083d8c
f2,2944,60,200.78,300,ba7a5be7-566a-48f6-ab4f-06642375b11b
f2,2944,60,202.76,300,a8f8203f-ff2f-4418-98b1-824a9f72385e
f2,2944,60,200.08,300,44da92bd-50f7-4e59-81b6-b1792801b33c
f2,2944,60,203.14,300,f60d0d8c-b0db-4a95-abf9-552b083e8a4e
f2,2944,60,202.82,300,8173bf63-a439-40a0-bbdb-d7eba2d6cac5
f2,2944,60,202.3,300,2cb16e3e-4bf7-469e-8f01-92097dc6b300
f2,2944,60,205.29,300,159acada-8074-46c1-8a90-04b37315aaff
f2,2944,60,201.96,300,9e538e22-5f69-44ec-a367-052dd2f82abe
f2,2944,60,202.27,300,5050811e-bfa7-415d-b66e-2a6d895fbf2c
f2,2944,60,200.15,300,fca3714a-6b9e-483b-b344-5890d78b9f95
f2,2944,60,201.55,300,ae7835d6-464d-4278-8bc9-0b167c24022f
f2,2944,60,201.03,300,adafad5e-3502-4bf1-ae37-3f1e5e8af19d
f2,2944,60,200.16,300,983787c5-17d3-477f-9302-110954b0d11b
f2,2944,60,198.75,200,205b7589-7696-4d83-bdaf-4c96908de15e
f2,2944,60,204.31,300,c3997233-4872-4964-a97f-7dbd39fd5ce6
f2,2944,60,202.67,300,ecb866ed-5ab7-43e2-a363-956db47d542f
f2,2944,60,200.58,300,975396ea-88a6-4cdc-9af8-85d6eecc1ad2
f2,2944,60,200.0,200,b7482142-ca93-47b1-b436-f3188220fbd8
f2,2944,60,201.56,300,6f7a9bc7-cbaa-49f0-bb1f-85cbb4c3db83
f2,2944,60,200.67,300,6540f619-9035-4a01-9f39-719c4aa866b5
f2,2944,60,199.41,200,5e67e119-0624-4845-b059-fdce6348a561
f2,2944,60,199.74,200,f7a41d70-d26e-4bc2-b3c0-2ffd4c7a7fd6
f2,2944,60,200.77,300,0fec2156-29de-4151-bb35-14437db6aaa7
f2,2944,60,202.33,300,6bab9020-6015-42db-9749-8ca98b12ed7b
f2,2944,60,200.75,300,976279b3-ac81-4595-9802-fc78f7503dea
f2,2944,60,202.72,300,302af5eb-417f-4a2f-9948-71ea5218eceb
f2,2944,60,202.84,300,f591d325-2770-49dc-9dae-8d243799ab2a
f2,2944,60,203.3,300,033c8b1e-7eb2-4ce5-9da4-c5e0cf66e8f7
f2,2944,60,202.08,300,dc808752-1dc1-467c-a00a-7d6a732efda5
f2,2944,60,202.55,300,6bb16691-2231-430e-8be4-5bdc0954b8eb
f2,2944,60,200.45,300,01811f02-5256-42cb-aebe-b058b3fd77ab
f2,2944,60,203.57,300,f012bd29-eeef-4910-b16f-f1ec9f840cb3
f2,2944,60,202.79,300,dc5083e8-e450-4fc7-b88e-3ca6f648e476
f2,2944,60,200.55,300,03f70cd7-2240-4cbe-a13b-01c17aebf415
f2,2944,60,202.14,300,5f6eba74-9463-4103-a116-a6041090a529
f2,2944,60,202.96,300,6128e821-b3c3-44cb-aba8-eb1bfdcf659b
f2,2944,60,202.7,300,c4bdecfd-888a-4a90-8c8d-4973c20434e0
f2,2944,60,200.77,300,e1e31af3-2b02-4f97-8f3a-fa33a9fd7008
f2,2944,60,202.63,300,a4f0e1bc-f8aa-4a43-aade-4eaed9c690bd
f2,2944,60,203.11,300,c9078b8e-77d8-4d52-9aaa-5f97983e803a
f2,2944,60,199.13,200,2c20afd4-f5cc-4ffc-9890-deea076f1f0c
f2,2944,60,198.86,200,85c8582d-e746-4449-b1bc-9c01943d83d9
f2,2944,60,203.1,300,d9163b41-7d3c-4513-841b-948c778e510b
f2,2944,60,201.07,300,e2b57fe5-b17e-4cd8-9410-685f0e4dc19d
f2,2944,60,203.47,300,b8444474-589d-4597-9ac7-1d8be17172bb
f2,2944,60,201.97,300,4351399b-cd0e-4046-a663-dbcf583ec0d3
f2,2944,60,203.41,300,748dbe72-ebd3-4baf-b6c9-aff0056a4106
f2,2944,60,202.52,300,38815377-dbd0-4438-a8dc-2e1d46c1bd06
f2,2944,60,202.3,300,b931c6ba-9d9d-4690-8c98-09ba73ed1570
f2,2944,60,203.04,300,6aec686b-9587-481d-88fb-fc8e82d152b9
f2,2944,60,202.78,300,e7ced78e-5379-4a73-a09c-ab7fe8768fa5
f2,2944,59,203.57,300,a72e2748-2ced-4a4f-b6a0-364cf0ef9990
