Function,Memory Size,Max Memory Used,Duration,Billed Duration,UTCTimestamp,RequestId
f1,1536,61,861.73,900,1580352021.0,2d2a4364-63a1-44aa-9707-abfbe888baec
f1,1536,61,846.3,900,1580352031.0,3ed4f24f-206e-4d14-8a41-7d422403acd2
f1,1536,61,840.17,900,1580352042.0,f81c97af-2e6b-4cd7-a8da-975d9621516d
f1,1536,61,807.96,900,1580352052.0,d6286f3b-bfe6-4bde-ab41-81a65d6b32d0
f1,1536,61,847.2,900,1580352062.0,2316edd1-fc70-43cb-bd24-3a5c5b536d03
f1,1536,61,822.45,900,1580352072.0,8527e017-1383-4b3d-aada-47fb6a8aff94
f1,1536,61,819.81,900,1580352083.0,f695394d-ec4f-4b7e-8b0f-725f3ce8d505
f1,1536,61,817.11,900,1580352093.0,7cb45769-1d4e-43cb-931f-b513e5f9d433
f1,1536,61,829.84,900,1580352103.0,5d6f602e-4d4e-47a6-b639-9c87163a4356
f1,1536,61,841.09,900,1580352113.0,74cad8d3-4cd2-40b0-8d55-014891dd5080
f1,1536,61,823.23,900,1580352124.0,29c81393-784e-4e3b-9570-0099531be9eb
f1,1536,61,819.76,900,1580352134.0,d771ff17-6910-4a3a-bd2a-2a5a569d346b
f1,1536,61,818.78,900,1580352144.0,42e77a34-ef9b-46eb-b6bc-49fb9ed3a485
f1,1536,61,823.57,900,1580352154.0,add64825-4d5a-4ed3-b86d-21ff10fbb4dd
f1,1536,61,829.87,900,1580352164.0,56fb5edb-8710-4eb7-ab4d-2df0f0bc1f32
f1,1536,61,808.49,900,1580352175.0,8caaff8f-8004-4c33-93e3-e7e3547e2366
f1,1536,61,823.32,900,1580352185.0,28032c72-0e7e-4d18-8158-aea20014d403
f1,1536,61,834.24,900,1580352195.0,a0407f07-f14b-4c37-8638-2e622b60096c
f1,1536,61,811.74,900,1580352205.0,03a035b2-3b58-47bf-9ed5-ef1f2fa1f4e9
f1,1536,61,824.28,900,1580352215.0,d6864c6b-80f2-413a-8fbc-fbb46cc3ab29
f1,1536,61,831.51,900,1580352225.0,29504639-4b15-4f02-8c37-07466be36553
f1,1536,61,836.71,900,1580352236.0,7e8a7ea8-f9ab-4976-a42b-429dba208a88
f1,1536,61,820.42,900,1580352246.0,6bb802de-9204-4039-a31f-bdf575c434aa
f1,1536,61,836.04,900,1580352256.0,c160a8cc-49b9-42df-bf47-96b9c57a935b
f1,1536,61,836.15,900,1580352266.0,32e25ec4-a54c-42fe-951e-77455212cf6b
f1,1536,61,809.93,900,1580352276.0,e9c6ca96-1786-4a01-b52b-9bc79eaf4395
f1,1536,61,819.07,900,1580352286.0,6d7e3a8f-b2fd-445c-b5e8-81415b169964
f1,1536,61,829.75,900,1580352297.0,c3bb4192-89b2-46b3-b03f-8ac4c0050f44
f1,1536,61,838.35,900,1580352307.0,a3c17923-4fab-4aed-aad3-3517c11afd8f
f1,1536,61,819.17,900,1580352317.0,28944e7f-fb48-4033-a443-11b78650fee1
f1,1536,61,840.39,900,1580352327.0,29cda931-ecd3-4026-8af3-d1beb18aa702
f1,1536,61,725.47,800,1580352337.0,ed8f81ab-824b-495a-8274-58288f05a0b2
f1,1536,61,716.13,800,1580352348.0,4932c9b4-e2ed-4055-862c-0e456b5b2b56
f1,1536,61,735.58,800,1580352358.0,0e94a2f8-7775-41f2-a8b4-129e301d1dd5
f1,1536,61,712.78,800,1580352368.0,c2658e26-4571-4c3f-bd0c-d8c4086e6c76
f1,1536,61,718.2,800,1580352378.0,1f7c5f30-1d51-414c-a3ee-e328430a8549
f1,1536,61,712.07,800,1580352388.0,b81da58e-7441-44f6-bf1d-3733ab8e3739
f1,1536,61,714.65,800,1580352399.0,a3e3419e-068b-4600-9bf7-1ce89286f97b
f1,1536,61,734.5,800,1580352409.0,89703723-66df-4d08-bacb-657bccebf5b6
f1,1536,61,715.32,800,1580352419.0,59a64613-9ae3-40eb-a666-71bb5c9db71d
f1,1536,61,710.21,800,1580352429.0,1edd0999-7a0e-4f23-99a4-3286a4395d27
f1,1536,61,711.53,800,1580352439.0,82b68f24-ec5d-43a0-86bd-7e8172e270a5
f1,1536,61,734.41,800,1580352449.0,63c4e71c-a0f2-4b10-911f-6d9893e25d7e
f1,1536,61,720.41,800,1580352460.0,62ddf7cc-57ac-49c9-8c53-418b062594ba
f1,1536,61,741.89,800,1580352470.0,7ce31e4b-7451-4afb-98c7-e47451bc3c30
f1,1536,61,732.14,800,1580352480.0,ae482235-5694-49c9-a35e-bd4e3fa34a61
f1,1536,61,726.91,800,1580352490.0,de890011-5061-4d37-821e-915e8fffd595
f1,1536,61,744.2,800,1580352500.0,e22a3d81-9925-4d07-a4cc-2f52dd9111f0
f1,1536,61,725.48,800,1580352511.0,2c7979e5-e5f3-4dbc-820f-46bd237786f5
f1,1536,61,729.96,800,1580352521.0,c555899d-401a-4f54-b163-495d82d3f471
f1,1536,61,723.53,800,1580352531.0,afdcfb34-51b5-428a-b79a-ed836382bfb7
f1,1536,61,726.0,800,1580352541.0,40310e41-de58-4ee3-ac26-9d7888620259
f1,1536,61,725.93,800,1580352551.0,ab98d2bc-724f-4df7-b85b-1208ae52b89d
f1,1536,61,730.61,800,1580352562.0,1b977866-23fd-40d2-a8c7-fd2d6531d698
f1,1536,61,733.67,800,1580352572.0,82d4ff68-904e-45a4-b0c7-250aa8c32429
f1,1536,61,728.84,800,1580352582.0,c524f82d-2abd-46fc-951a-7e84763cca73
f1,1536,61,721.56,800,1580352592.0,66c1bfee-ea00-432d-bb8a-98f628e715d1
f1,1536,61,722.41,800,1580352603.0,de966e25-2425-4cc9-a6b3-5f538f613d4f
f1,1536,61,730.76,800,1580352613.0,49e1d55f-8916-43c2-a721-f08f2fb53d76
f1,1536,61,724.69,800,1580352623.0,ec5fceef-3433-46aa-a19e-8525dabff33d
f1,1536,61,726.45,800,1580352633.0,93a03042-64ec-4390-ad66-8bf7092daca5
