Start,End
1580351348.271,1580351350.639
1580351358.391,1580351361.059
1580351368.579,1580351370.919
1580351378.78,1580351382.079
1580351388.954,1580351391.599
1580351399.123,1580351402.762
1580351409.329,1580351412.38
1580351419.481,1580351422.16
1580351429.662,1580351432.959
1580351439.903,1580351442.539
1580351450.053,1580351453.019
1580351460.185,1580351462.899
1580351470.45,1580351473.1
1580351480.61,1580351483.64
1580351490.787,1580351493.739
1580351500.978,1580351503.619
1580351511.153,1580351515.439
1580351521.308,1580351524.279
1580351531.495,1580351534.44
1580351541.677,1580351544.4
1580351551.861,1580351554.562
1580351562.003,1580351564.98
1580351572.168,1580351574.92
1580351582.44,1580351585.12
1580351592.905,1580351595.82
1580351603.081,1580351606.06
1580351613.245,1580351618.26
1580351623.433,1580351626.44
1580351633.603,1580351636.6
1580351643.878,1580351648.141
1580351654.063,1580351656.98
1580351664.294,1580351667.32
1580351674.46,1580351677.181
1580351684.653,1580351687.72
1580351694.842,1580351698.16
1580351705.054,1580351708.481
1580351715.197,1580351718.161
1580351725.385,1580351727.962
1580351735.57,1580351740.081
1580351745.741,1580351748.701
1580351755.9,1580351760.541
1580351766.082,1580351769.201
1580351776.324,1580351779.304
1580351786.52,1580351789.481
1580351796.692,1580351799.361
1580351806.847,1580351809.741
1580351817.05,1580351819.941
1580351827.216,1580351829.901
1580351837.7,1580351840.562
1580351847.9,1580351850.862
1580351858.069,1580351863.142
1580351868.221,1580351871.222
1580351878.397,1580351881.382
1580351888.558,1580351891.562
1580351898.852,1580351902.202
1580351909.03,1580351911.702
1580351919.198,1580351921.842
1580351929.357,1580351932.702
1580351939.553,1580351942.202
1580351949.705,1580351952.382
1580351959.879,1580351962.562
1580351970.028,1580351972.922
1580351980.217,1580351982.944
1580351990.362,1580351993.283
1580352000.551,1580352003.622
1580352010.702,1580352013.403
1580352020.946,1580352023.723
1580352031.107,1580352033.823
1580352041.276,1580352044.362
1580352051.477,1580352054.323
1580352061.717,1580352064.803
1580352071.953,1580352074.563
1580352082.44,1580352085.143
1580352092.642,1580352095.303
1580352102.864,1580352105.863
1580352113.031,1580352116.443
1580352123.361,1580352126.063
1580352133.431,1580352136.103
1580352143.606,1580352147.503
1580352153.812,1580352158.124
1580352164.0,1580352166.923
1580352174.182,1580352176.883
1580352184.394,1580352187.364
1580352194.581,1580352197.564
1580352204.782,1580352207.504
1580352214.894,1580352217.584
1580352225.036,1580352228.064
1580352235.212,1580352238.485
1580352245.406,1580352248.705
1580352255.537,1580352259.464
1580352265.683,1580352268.724
1580352275.874,1580352278.585
1580352286.064,1580352288.785
1580352296.193,1580352298.905
1580352306.347,1580352310.665
1580352316.536,1580352319.225
1580352326.989,1580352329.684
1580352337.214,1580352339.805
1580352347.374,1580352350.124
1580352357.597,1580352360.504
1580352367.733,1580352370.345
1580352377.926,1580352380.825
1580352388.117,1580352391.085
1580352398.312,1580352402.126
1580352408.545,1580352411.105
1580352418.702,1580352421.585
1580352428.882,1580352431.505
1580352439.078,1580352441.945
1580352449.251,1580352453.006
1580352459.413,1580352461.985
1580352469.596,1580352472.206
1580352479.775,1580352482.366
1580352489.94,1580352492.845
1580352500.114,1580352505.065
1580352510.268,1580352513.067
1580352520.434,1580352523.346
1580352530.639,1580352533.246
1580352540.855,1580352543.446
1580352551.073,1580352553.666
1580352561.255,1580352565.465
1580352571.703,1580352574.686
1580352581.833,1580352584.686
1580352591.974,1580352594.606
1580352602.305,1580352604.908
1580352612.53,1580352616.706
1580352622.643,1580352625.226
1580352632.814,1580352635.426
1580352643.118,1580352646.106
1580352653.272,1580352657.446
1580352663.458,1580352666.068
1580352673.597,1580352676.147
1580352683.755,1580352686.387
1580352693.93,1580352696.527
1580352704.107,1580352708.627
1580352714.274,1580352717.487
1580352724.445,1580352727.286
1580352734.631,1580352737.166
1580352744.781,1580352747.667
1580352754.94,1580352757.827
1580352765.13,1580352768.048
1580352775.314,1580352779.567
1580352785.453,1580352788.127
1580352795.606,1580352798.207
1580352805.764,1580352808.77
1580352816.223,1580352819.127
1580352826.397,1580352829.367
1580352836.568,1580352839.467
1580352846.77,1580352850.607
1580352856.958,1580352860.208
1580352867.143,1580352869.789
1580352877.33,1580352879.927
1580352887.526,1580352890.188
1580352897.682,1580352900.969
1580352907.863,1580352910.648
1580352918.032,1580352920.868
1580352928.291,1580352931.488
1580352938.482,1580352941.449
1580352948.645,1580352951.608
1580352958.811,1580352961.788
1580352968.978,1580352971.868
1580352979.144,1580352983.788
1580352989.367,1580352992.01
1580352999.538,1580353002.388
1580353009.688,1580353012.349
1580353019.91,1580353022.509
1580353030.052,1580353032.768
1580353040.248,1580353042.929
1580353050.449,1580353054.588
1580353060.882,1580353063.549
1580353071.055,1580353073.689
1580353081.209,1580353083.809
1580353091.383,1580353094.089
1580353101.598,1580353104.269
1580353111.81,1580353114.789
1580353121.979,1580353124.669
1580353132.188,1580353135.189
1580353142.457,1580353145.829
1580353152.661,1580353156.71
1580353162.909,1580353165.809
1580353173.108,1580353175.79
1580353183.292,1580353185.969
1580353193.495,1580353197.109
1580353203.882,1580353206.53
1580353214.33,1580353217.25
1580353224.491,1580353227.47
1580353234.68,1580353237.31
1580353244.861,1580353248.791
1580353255.036,1580353257.709
1580353265.235,1580353268.15
1580353275.376,1580353278.269
1580353285.542,1580353288.23
1580353295.702,1580353298.39
1580353306.175,1580353308.75
1580353316.353,1580353320.251
1580353326.518,1580353329.211
1580353336.686,1580353339.59
1580353346.859,1580353349.47
1580353357.04,1580353359.63
1580353367.204,1580353370.11
1580353377.366,1580353380.05
1580353387.518,1580353390.511
