,1M_Exe_Cost
60,90.479
61,85.16499999999999
62,83.91499999999999
63,91.72899999999998
64,95.15800000000002
65,90.479
66,90.479
67,86.83200000000001
68,84.947
69,91.72899999999998
70,91.511
71,84.019
72,86.83200000000001
73,90.479
74,122.659
75,126.921
76,87.666
77,86.83200000000001
78,110.772
79,114.93999999999998
80,88.08200000000001
81,90.479
82,122.659
83,122.44999999999999
84,86.83200000000001
85,86.83200000000001
86,123.07599999999998
87,93.595
88,123.69099999999999
89,142.223
90,85.05100000000002
91,87.666
92,87.56200000000001
93,86.83200000000001
94,149.516
95,84.74900000000001
96,84.019
97,85.165
98,96.10600000000001
99,124.63799999999999
100,84.33100000000002
101,123.38799999999999
102,89.01
103,111.91800000000002
104,87.97800000000001
105,120.158
106,87.97800000000001
107,117.345
108,99.72800000000002
109,84.33100000000002
110,87.97800000000001
111,84.33100000000002
112,117.345
113,162.308
114,85.581
115,120.47099999999999
116,84.33100000000002
117,87.97800000000001
118,84.33100000000002
119,140.868
120,89.84400000000002
121,121.92899999999999
122,87.97800000000001
123,84.33100000000002
124,109.30300000000001
125,85.165
126,87.97800000000001
127,92.65700000000001
128,145.13000000000002
129,81.51800000000001
130,81.51800000000001
131,91.62500000000001
132,81.51800000000001
133,90.741
134,118.273
135,82.86200000000001
136,81.83000000000001
137,131.098
138,121.408
139,120.158
140,110.77099999999999
141,86.83200000000001
142,87.97800000000001
143,124.84699999999998
144,117.345
145,86.197
146,120.158
147,111.91800000000002
148,121.19
149,86.83200000000001
150,84.33100000000002
151,86.83200000000001
152,89.114
153,89.228
154,88.91599999999998
155,102.452
156,122.659
157,89.01
158,118.17899999999999
159,91.72899999999998
160,149.08
161,86.83200000000001
162,118.699
163,81.51800000000001
164,84.33100000000002
165,90.479
166,84.019
167,103.677
168,94.12600000000002
169,84.74900000000001
170,85.165
171,86.83200000000001
172,87.666
173,122.76299999999999
174,90.479
175,85.05100000000002
176,89.62600000000002
177,122.525
178,117.345
179,87.666
180,86.83200000000001
181,122.22200000000001
182,85.165
183,86.311
184,125.88899999999998
185,84.33100000000002
186,110.772
187,87.666
188,88.08200000000001
189,123.38799999999999
190,90.479
191,86.83200000000001
192,84.33100000000002
193,143.78600000000003
194,90.479
195,88.08200000000001
196,87.97800000000001
197,81.51800000000001
198,91.72899999999998
199,90.479
200,130.369
201,111.605
202,118.38699999999999
203,88.08200000000001
204,87.97800000000001
205,92.21
206,84.33100000000002
207,90.479
208,146.16200000000003
209,117.345
210,87.97800000000001
211,95.992
212,119.84599999999999
213,97.773
214,105.45800000000001
215,87.864
216,91.72899999999998
217,127.139
218,118.699
219,92.54299999999999
220,121.61699999999999
221,89.228
222,144.203
223,87.666
224,144.827
225,84.33100000000002
226,146.59900000000002
227,85.269
228,78.601
229,81.414
230,90.479
231,88.708
232,83.91499999999999
233,120.158
234,91.72899999999998
235,84.33100000000002
236,124.22200000000001
237,84.33100000000002
238,86.83200000000001
239,84.33100000000002
240,118.595
241,112.63800000000002
242,86.83200000000001
243,84.74900000000001
244,124.42999999999999
245,123.579
246,118.491
247,87.97800000000001
248,117.345
249,121.635
250,89.84400000000002
251,115.886
252,120.158
253,120.57499999999999
254,123.38799999999999
255,119.40899999999999
256,120.158
257,123.179
258,86.41499999999999
259,89.84400000000002
260,139.95499999999998
261,89.958
262,89.228
263,84.33100000000002
264,121.50299999999999
265,86.311
266,117.136
267,118.377
268,87.97800000000001
269,105.45800000000001
270,118.699
271,123.179
272,87.97800000000001
273,142.639
274,89.228
275,85.165
276,119.949
277,105.77000000000001
278,84.33100000000002
279,101.402
280,93.90700000000001
281,82.446
282,85.165
