Performance_Constraint,BCR_disabled_RT,BCR_M/RT_RT,BCR_C/ERT_RT,BCR_MAX_RT,BCR_disabled_Cost,BCR_M/RT_Cost,BCR_C/ERT_Cost,BCR_MAX_Cost,BCR_disabled_Config,BCR_M/RT_Config,BCR_C/ERT_Config,BCR_MAX_Config,BCR_disabled_Iterations,BCR_M/RT_Iterations,BCR_C/ERT_Iterations,BCR_MAX_Iterations,BCR_threshold
2853.3180428571422,2851.2342285714276,2851.2342285714276,2851.2342285714276,2852.52081142857,87.41677142857144,87.41677142857144,87.41677142857144,91.2954,"{1: 896, 2: 1856, 3: 1664, 4: 2240, 5: 1088, 6: 1856}","{1: 896, 2: 1856, 3: 1664, 4: 2240, 5: 1088, 6: 1856}","{1: 896, 2: 1856, 3: 1664, 4: 2240, 5: 1088, 6: 1856}","{1: 1088, 2: 2048, 3: 1664, 4: 2240, 5: 512, 6: 1856}",9.0,9.0,9.0,15.0,0.2
3081.3964849927843,3070.2311885714275,3070.2311885714275,3070.2311885714275,3061.305594285713,87.15071428571429,87.15071428571429,87.15071428571429,78.37682857142858,"{1: 704, 2: 1856, 3: 1664, 4: 2240, 5: 704, 6: 1856}","{1: 704, 2: 1856, 3: 1664, 4: 2240, 5: 704, 6: 1856}","{1: 704, 2: 1856, 3: 1664, 4: 2240, 5: 704, 6: 1856}","{1: 896, 2: 1472, 3: 1664, 4: 1664, 5: 512, 6: 1856}",9.0,9.0,9.0,19.0,0.2
3309.4749271284263,3303.131185714284,3303.131185714284,3303.131185714284,3302.6560028571416,76.83091428571429,76.83091428571429,76.83091428571429,79.57171428571428,"{1: 704, 2: 1856, 3: 1664, 4: 1280, 5: 1088, 6: 2048}","{1: 704, 2: 1856, 3: 1664, 4: 1280, 5: 1088, 6: 2048}","{1: 704, 2: 1856, 3: 1664, 4: 1280, 5: 1088, 6: 2048}","{1: 704, 2: 1856, 3: 1664, 4: 1664, 5: 704, 6: 1472}",9.0,9.0,9.0,16.0,0.2
3537.5533692640684,3512.9507457142845,3512.9507457142845,3512.9507457142845,3512.9507457142845,71.18125714285713,71.18125714285713,71.18125714285713,71.18125714285713,"{1: 704, 2: 1280, 3: 1088, 4: 1280, 5: 512, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 1280, 5: 512, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 1280, 5: 512, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 1280, 5: 512, 6: 1472}",9.0,9.0,9.0,19.0,0.2
3765.631811399711,3763.7673085714273,3763.7673085714273,3763.7673085714273,3716.5326457142846,71.4734,71.4734,71.4734,70.97325714285714,"{1: 704, 2: 1664, 3: 1664, 4: 896, 5: 512, 6: 1856}","{1: 704, 2: 1664, 3: 1664, 4: 896, 5: 512, 6: 1856}","{1: 704, 2: 1664, 3: 1664, 4: 896, 5: 512, 6: 1856}","{1: 704, 2: 1280, 3: 1088, 4: 1280, 5: 512, 6: 1088}",9.0,9.0,9.0,20.0,0.2
3993.710253535353,3903.9267457142846,3903.9267457142846,3903.9267457142846,3903.9267457142846,68.50554285714286,68.50554285714286,68.50554285714286,68.50554285714286,"{1: 704, 2: 1280, 3: 1088, 4: 896, 5: 512, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 896, 5: 512, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 896, 5: 512, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 896, 5: 512, 6: 1472}",9.0,9.0,9.0,20.0,0.2
4221.788695670995,4210.427145714284,4210.427145714284,4210.427145714284,4210.427145714284,70.93599999999999,70.93599999999999,70.93599999999999,70.93599999999999,"{1: 704, 2: 1856, 3: 1664, 4: 704, 5: 704, 6: 1472}","{1: 704, 2: 1856, 3: 1664, 4: 704, 5: 704, 6: 1472}","{1: 704, 2: 1856, 3: 1664, 4: 704, 5: 704, 6: 1472}","{1: 704, 2: 1856, 3: 1664, 4: 704, 5: 704, 6: 1472}",9.0,9.0,9.0,19.0,0.2
4449.867137806637,4439.304702857141,4439.304702857141,4439.304702857141,4439.304702857141,70.7046857142857,70.7046857142857,70.7046857142857,70.7046857142857,"{1: 704, 2: 1856, 3: 1664, 4: 704, 5: 512, 6: 1088}","{1: 704, 2: 1856, 3: 1664, 4: 704, 5: 512, 6: 1088}","{1: 704, 2: 1856, 3: 1664, 4: 704, 5: 512, 6: 1088}","{1: 704, 2: 1856, 3: 1664, 4: 704, 5: 512, 6: 1088}",9.0,9.0,9.0,21.0,0.2
4677.945579942279,4675.369339999999,4675.369339999999,4675.369339999999,4623.983057142855,66.5504,66.5504,66.5504,66.92068571428571,"{1: 896, 2: 1472, 3: 1088, 4: 512, 5: 512, 6: 1472}","{1: 896, 2: 1472, 3: 1088, 4: 512, 5: 512, 6: 1472}","{1: 896, 2: 1472, 3: 1088, 4: 512, 5: 512, 6: 1472}","{1: 704, 2: 896, 3: 1088, 4: 704, 5: 512, 6: 1088}",9.0,9.0,9.0,23.0,0.2
4906.0240220779215,4884.596174285714,4884.596174285714,4884.596174285714,4884.596174285714,65.2384,65.2384,65.2384,65.2384,"{1: 704, 2: 1280, 3: 1088, 4: 512, 5: 512, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 512, 5: 512, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 512, 5: 512, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 512, 5: 512, 6: 1472}",9.0,9.0,9.0,21.0,0.2
5134.1024642135635,5088.1780742857145,5088.1780742857145,5088.1780742857145,5088.1780742857145,65.0304,65.0304,65.0304,65.0304,"{1: 704, 2: 1280, 3: 1088, 4: 512, 5: 512, 6: 1088}","{1: 704, 2: 1280, 3: 1088, 4: 512, 5: 512, 6: 1088}","{1: 704, 2: 1280, 3: 1088, 4: 512, 5: 512, 6: 1088}","{1: 704, 2: 1280, 3: 1088, 4: 512, 5: 512, 6: 1088}",9.0,9.0,9.0,22.0,0.2
5362.1809063492055,5347.516908571429,5347.516908571429,5347.516908571429,5347.516908571429,65.02857142857142,65.02857142857142,65.02857142857142,65.02857142857142,"{1: 704, 2: 1280, 3: 1088, 4: 512, 5: 128, 6: 1088}","{1: 704, 2: 1280, 3: 1088, 4: 512, 5: 128, 6: 1088}","{1: 704, 2: 1280, 3: 1088, 4: 512, 5: 128, 6: 1088}","{1: 704, 2: 1280, 3: 1088, 4: 512, 5: 128, 6: 1088}",9.0,9.0,9.0,23.0,0.2
5590.259348484848,5464.575194285714,5464.575194285714,5464.575194285714,5464.575194285714,64.55314285714286,64.55314285714286,64.55314285714286,64.55314285714286,"{1: 704, 2: 896, 3: 1088, 4: 512, 5: 128, 6: 1088}","{1: 704, 2: 896, 3: 1088, 4: 512, 5: 128, 6: 1088}","{1: 704, 2: 896, 3: 1088, 4: 512, 5: 128, 6: 1088}","{1: 704, 2: 896, 3: 1088, 4: 512, 5: 128, 6: 1088}",9.0,9.0,9.0,24.0,0.2
