Function,Memory Size,Max Memory Used,Duration,Billed Duration,UTCTimestamp,RequestId
f1,1536,59,407.36,500,1580355691.0,5913c347-b5fa-4b9e-aa23-bf8b9d07a700
f1,1536,59,419.17,500,1580355702.0,a14d7892-564b-4bf1-80fe-e88c551cf9e3
f1,1536,59,624.24,700,1580355712.0,31ab284d-7d45-4187-aa5b-5642d8e46b4e
f1,1536,59,710.4,800,1580355722.0,92a54c3d-4316-4f83-a973-24b2e72c60e0
f1,1536,59,716.98,800,1580355732.0,8b285ce7-899b-4087-bd45-8c4c1496bb23
f1,1536,59,721.36,800,1580355743.0,5e102554-764d-4cb5-8723-c99e4532a2fe
f1,1536,59,714.42,800,1580355753.0,012ed66a-548e-41ad-abd4-cf8ef63f50e1
f1,1536,59,719.37,800,1580355763.0,95e3159a-8532-441c-be5a-188dd5ebebff
f1,1536,59,733.82,800,1580355773.0,61ccb48f-b531-4417-ad3e-a75b77058967
f1,1536,60,726.2,800,1580355783.0,e0697c86-0947-461e-bd41-5693e650e4ee
f1,1536,60,734.02,800,1580355794.0,424e269a-8b6e-418f-a20f-db65f4286d72
f1,1536,60,718.36,800,1580355804.0,54cf99f6-ecef-47fd-b26b-a02e3b6b1743
f1,1536,60,810.34,900,1580355814.0,52ddf078-f735-497f-9ffa-6100669b9de4
f1,1536,60,728.57,800,1580355824.0,3ef2a16c-1c3b-4719-8964-d1b789107cea
f1,1536,60,734.91,800,1580355834.0,4b1450de-16db-4586-8d5c-956c97b51d46
f1,1536,60,714.56,800,1580355845.0,0a09e3b5-12b9-43e5-a35f-30ee9c86f33a
f1,1536,60,741.39,800,1580355855.0,b11f782a-fe38-40db-898f-581fdc71a238
f1,1536,60,721.91,800,1580355865.0,c85987b9-54c3-4212-8e2e-50b4e9b101d8
f1,1536,60,736.15,800,1580355875.0,5ed90c6d-ab2a-45b8-a3bd-4207037286e4
f1,1536,60,737.8,800,1580355885.0,b0e7f9a2-9cf4-4c19-9b95-79f1fc3aa6ad
f1,1536,60,731.24,800,1580355895.0,6b895ca9-fe8e-43e8-82b0-26115be97f48
f1,1536,60,716.83,800,1580355906.0,6356e1f4-966d-404f-bdfd-03b4048a927a
f1,1536,60,732.53,800,1580355916.0,b6e8df55-85ac-431a-8369-9800b0f06395
f1,1536,60,717.11,800,1580355926.0,d6657b3a-8fa8-4cb9-9753-dc262ef79d86
f1,1536,60,722.76,800,1580355936.0,4e8e5b19-c206-41a4-93ad-2cd7351ed791
f1,1536,60,716.16,800,1580355947.0,f4abe141-f5b7-42a5-b6f2-ada85d4e8bd1
f1,1536,60,716.59,800,1580355957.0,7c50ce52-c96d-47e1-bef9-452787085c44
f1,1536,60,713.45,800,1580355967.0,bcb44cf7-93ae-43c6-aae8-f08e9dad07bd
