,Duration
60,3335.9999656677246
61,3787.9998683929443
62,2792.9999828338623
63,4144.999980926514
64,2556.999683380127
65,4546.000003814697
66,2658.9999198913574
67,2534.9998474121094
68,2616.999864578247
69,2591.9997692108154
70,3336.9998931884766
71,3315.000057220459
72,2631.999969482422
73,2622.999906539917
74,3811.999797821045
75,3372.999906539917
76,2937.000036239624
77,2599.9999046325684
78,4563.999891281128
79,3783.9999198913574
80,2667.9999828338623
81,5049.999952316284
82,2548.0003356933594
83,3803.999900817871
84,2688.999891281128
85,3881.999969482422
86,3335.0000381469727
87,3176.0001182556152
88,2963.9999866485596
89,4268.00012588501
90,2663.9997959136963
91,2693.000078201294
92,3226.0000705718994
93,2671.999931335449
94,3880.000114440918
95,3825.000047683716
96,3528.0001163482666
97,3258.999824523926
98,2933.000087738037
99,3258.000135421753
100,3061.000108718872
101,3203.000068664551
102,2557.000160217285
103,4194.000244140625
104,3553.0002117156982
105,3891.9999599456787
106,4298.000335693359
107,3942.999839782715
108,2637.00008392334
109,5176.999807357788
110,3202.000141143799
111,2626.999855041504
112,3542.0000553131104
113,3583.0001831054688
114,3842.9999351501465
115,3180.999994277954
116,4307.999849319458
117,3200.9997367858887
118,3891.9997215270996
119,2804.00013923645
120,2651.9997119903564
121,3306.999921798706
122,2565.000057220459
123,3898.0000019073486
124,3270.000219345093
125,2615.000009536743
126,3277.9998779296875
127,2622.999668121338
128,2680.999994277954
129,3011.000156402588
130,5164.999961853027
131,2972.0001220703125
132,2618.99995803833
133,3931.000232696533
134,4012.9997730255127
135,3246.999979019165
136,4819.999933242798
137,3267.9998874664307
138,3187.999963760376
139,2584.0001106262207
140,2667.0000553131104
141,2668.0002212524414
142,2603.0001640319824
143,2583.0001831054688
144,4229.000091552734
145,2624.000072479248
146,3176.0001182556152
147,2682.000160217285
148,2574.000120162964
149,3231.0001850128174
150,2622.999906539917
151,2968.0001735687256
152,3815.000057220459
153,3524.9998569488525
154,3847.0001220703125
155,2615.999937057495
156,4222.0001220703125
157,2764.9998664855957
158,3326.000213623047
159,2624.000310897827
160,3664.0002727508545
161,4222.999811172485
162,3794.0001487731934
163,2926.999807357788
164,2598.0000495910645
165,4205.000162124634
166,3136.9998455047607
167,2928.999900817871
168,2565.999746322632
169,2933.000087738037
170,3273.9999294281006
171,2585.0000381469727
172,3226.9997596740723
173,3286.0000133514404
174,2620.000123977661
175,2955.9998512268066
176,2927.999973297119
177,2585.9999656677246
178,3226.9997596740723
179,2630.000114440918
180,3274.9998569488525
181,2604.0000915527344
182,2966.0000801086426
183,2578.9999961853027
184,2575.9997367858887
185,3216.0000801086426
186,4737.99991607666
187,3924.999952316284
188,3015.000104904175
189,2966.9997692108154
190,3167.9999828338623
191,2990.000009536743
192,5193.999767303467
193,3317.000150680542
194,3170.0000762939453
195,4607.000112533569
196,2575.999975204468
197,2624.000072479248
198,3914.9999618530273
199,3828.000068664551
200,3780.9998989105225
201,3710.0000381469727
202,4521.000146865845
203,2599.9999046325684
204,2623.000144958496
205,3248.000144958496
206,3838.0002975463867
207,3852.0002365112305
208,2593.9998626708984
209,3204.9999237060547
210,2618.000268936157
211,3855.9999465942383
212,2604.0000915527344
213,2611.999988555908
214,3026.0000228881836
215,3828.00030708313
216,2666.0001277923584
217,2598.0002880096436
218,3437.000036239624
219,2593.9998626708984
220,4237.999677658081
221,3223.9997386932373
222,4279.000282287598
223,2601.9997596740723
224,2669.999837875366
225,2535.9997749328613
226,3232.999801635742
227,3009.999990463257
228,2697.999954223633
229,2672.999858856201
230,2622.999906539917
231,3021.0001468658447
232,3687.999725341797
233,3331.0000896453857
234,2687.999963760376
235,3450.999975204468
236,3321.000099182129
237,3049.000024795532
238,2940.999984741211
239,3303.999900817871
240,2703.000068664551
241,3335.0000381469727
242,2691.999673843384
243,2721.9998836517334
244,3319.000005722046
245,4146.9995975494385
246,2621.000051498413
247,2601.9997596740723
248,2687.000036239624
249,2908.0002307891846
250,2678.999900817871
251,4348.999977111816
252,4268.999814987183
253,2873.999834060669
254,2661.0000133514404
255,2872.000217437744
256,2671.0000038146973
257,3421.0000038146973
258,3557.999849319458
259,2713.0002975463867
260,2664.9999618530273
261,2698.9998817443848
262,2700.000047683716
263,4045.0000762939453
264,3168.0002212524414
265,3057.000160217285
266,2908.0002307891846
267,3920.0000762939453
268,3931.000232696533
269,3347.0001220703125
270,3368.000268936157
271,2713.0002975463867
272,2889.9998664855957
273,2680.000066757202
274,2657.0003032684326
275,2978.0001640319824
276,2710.9999656677246
277,2696.9997882843018
278,2684.000015258789
279,3344.0003395080566
280,2619.000196456909
281,2676.999807357788
282,3388.000249862671
283,3924.0002632141113
284,2667.0000553131104
285,2719.0001010894775
286,2611.999988555908
287,3931.999921798706
288,3331.0000896453857
289,2663.9997959136963
290,3062.999963760376
291,4266.000032424927
292,2677.99973487854
293,2690.999746322632
294,3405.9996604919434
295,2895.9996700286865
296,2978.9998531341553
297,3960.0000381469727
298,2651.9999504089355
299,2699.9998092651367
300,3328.9997577667236
301,4675.000190734863
302,2703.9999961853027
303,3418.9999103546143
304,3351.9999980926514
305,4680.000066757202
306,3087.0001316070557
307,3055.000066757202
308,3027.0001888275146
309,2891.0000324249268
310,2683.000087738037
311,5679.999828338623
312,3646.9998359680176
313,3365.999937057495
314,3437.999725341797
315,2743.99995803833
316,2724.9999046325684
317,3727.9999256134033
318,2736.0000610351562
319,3200.999975204468
320,3400.0000953674316
321,3196.000099182129
322,4097.999811172485
323,3455.000162124634
324,3186.000108718872
325,3088.0002975463867
326,3835.0000381469727
327,3394.0000534057617
328,3138.000249862671
329,2803.0002117156982
330,3420.0000762939453
331,2962.9998207092285
332,2813.000202178955
333,4430.999994277954
334,3452.9998302459717
335,3388.000249862671
336,2845.0000286102295
337,3823.000192642212
338,3338.9997482299805
339,4419.999837875366
340,4015.000104904175
341,3133.999824523926
342,2803.999900817871
343,4113.000154495239
344,3102.0002365112305
345,2813.999891281128
346,2787.0001792907715
347,2817.999839782715
348,3066.999912261963
349,3050.999879837036
350,4152.9998779296875
351,2973.9999771118164
352,3493.99995803833
353,2913.9997959136963
354,3378.999948501587
355,3755.000114440918
356,3138.000011444092
357,2805.999755859375
358,2844.0001010894775
359,2846.0001945495605
360,2866.000175476074
361,3529.0000438690186
362,2756.00004196167
363,4118.000030517578
364,3081.9997787475586
365,2856.0001850128174
366,3397.0000743865967
367,3563.000202178955
368,2987.99991607666
369,2997.999906539917
370,5286.00001335144
371,4005.000114440918
372,3702.9998302459717
373,3462.0001316070557
374,3408.9999198913574
375,2844.0001010894775
376,3056.000232696533
377,3492.999792098999
378,2851.9999980926514
379,2763.000249862671
380,2806.000232696533
381,3062.000036239624
382,3027.0001888275146
383,4062.000036239624
384,2919.0001487731934
385,4818.999767303467
386,3439.000129699707
387,3941.999912261963
388,2782.0000648498535
389,2885.999917984009
390,2982.0001125335693
391,4058.000326156616
392,2798.999786376953
393,3542.0000553131104
394,4074.000358581543
395,3439.000368118286
396,4440.000057220459
397,2802.000045776367
398,5956.999778747559
399,3450.999975204468
400,3463.0002975463867
401,2799.999952316284
402,4427.000045776367
403,3555.999755859375
404,4113.999843597412
405,4108.000040054321
406,3920.0000762939453
407,3006.999731063843
408,4731.99987411499
409,2787.0001792907715
410,4076.9996643066406
411,2818.000078201294
412,2769.0000534057617
413,2823.9998817443848
414,4421.999931335449
415,2766.9999599456787
416,3009.999990463257
417,2981.999635696411
418,4036.9997024536133
419,3177.999973297119
420,2838.9999866485596
421,2830.000162124634
422,2808.99977684021
423,3909.0001583099365
424,2838.9999866485596
425,2812.000036239624
426,4540.999889373779
427,2872.000217437744
428,2782.0000648498535
429,3420.0000762939453
430,4016.0000324249268
431,3792.0002937316895
432,5707.000255584717
433,2804.00013923645
434,3373.999834060669
435,2803.999900817871
436,3118.99995803833
437,3434.999942779541
438,2730.0000190734863
439,3574.9998092651367
440,3824.000120162964
441,3207.0000171661377
442,2602.0002365112305
443,2621.000051498413
444,3200.000047683716
445,2921.0002422332764
446,3263.9999389648438
447,2608.9999675750732
448,2615.999937057495
449,3901.0000228881836
450,4003.000259399414
451,3595.0000286102295
452,2634.999990463257
453,2717.0002460479736
454,3212.0001316070557
455,2619.000196456909
456,3372.999906539917
457,3906.9998264312744
458,2693.000078201294
459,2582.000255584717
460,3802.99973487854
461,2671.0000038146973
462,4115.000009536743
463,6291.999816894531
464,2605.999708175659
465,5329.999923706055
466,2944.999933242798
467,3749.000072479248
468,4365.000009536743
469,3947.999954223633
470,2676.999807357788
471,3190.000057220459
472,2673.999786376953
473,3961.9996547698975
474,2635.999917984009
475,3265.000104904175
476,3092.9999351501465
477,4565.999984741211
478,3367.999792098999
479,2731.999635696411
480,2622.999906539917
481,4996.999979019165
482,3941.999673843384
483,2634.999990463257
484,3506.00004196167
485,3335.0000381469727
486,2674.000024795532
487,3617.999792098999
488,2864.000082015991
489,3381.000280380249
490,2638.000011444092
491,3262.00008392334
492,2940.000057220459
493,2574.000120162964
494,2589.9999141693115
495,3359.999895095825
496,3928.0002117156982
497,3703.000068664551
498,3270.9999084472656
499,2582.000255584717
500,4711.9996547698975
501,2746.000051498413
502,2674.0002632141113
503,4553.999900817871
504,2877.000093460083
505,2648.0002403259277
506,3069.999933242798
507,3277.0001888275146
508,3909.0001583099365
509,2626.000165939331
510,3880.000114440918
511,3858.0002784729004
512,2669.0003871917725
513,2988.0001544952393
514,2642.9998874664307
515,3469.0001010894775
516,4008.000135421753
517,2698.9998817443848
518,3273.0000019073486
519,3955.000162124634
520,3928.0002117156982
521,2735.999822616577
522,3866.999864578247
523,3422.999858856201
524,3247.999906539917
525,4425.999641418457
526,3868.99995803833
527,3006.999731063843
528,3251.999855041504
529,2738.999843597412
530,3724.9999046325684
531,3059.000015258789
532,2704.9999237060547
533,3351.9999980926514
534,2745.000123977661
535,2896.9998359680176
536,3407.9999923706055
537,3908.9999198913574
538,3597.9998111724854
539,3490.000009536743
540,4585.000038146973
