,1M_Exe_Cost
60,89.114
61,108.271
62,85.581
63,112.95000000000002
64,84.33100000000002
65,107.522
66,84.33100000000002
67,87.97800000000001
68,87.97800000000001
69,84.33100000000002
70,128.059
71,128.68399999999997
72,87.97800000000001
73,81.51800000000001
74,108.271
75,86.39500000000001
76,89.01
77,84.33100000000002
78,153.342
79,108.271
80,86.83200000000001
81,172.70900000000003
82,87.97800000000001
83,108.271
84,91.31300000000002
85,138.252
86,87.229
87,124.829
88,89.01
89,142.514
90,90.479
91,90.479
92,127.642
93,86.83200000000001
94,138.252
95,138.252
96,138.58200000000002
97,128.892
98,85.36300000000001
99,130.872
100,85.05100000000002
101,127.642
102,84.33100000000002
103,147.94200000000004
104,128.67399999999998
105,162.60900000000004
106,110.77099999999999
107,142.73200000000003
108,84.33100000000002
109,180.59900000000005
110,127.642
111,87.97800000000001
112,125.86099999999998
113,84.83200000000001
114,154.812
115,127.642
116,142.514
117,128.892
118,159.37900000000002
119,85.581
120,87.97800000000001
121,83.58200000000001
122,85.165
123,138.252
124,128.892
125,81.51800000000001
126,127.642
127,84.33100000000002
128,87.97800000000001
129,89.01
130,159.472
131,92.65700000000001
132,84.33100000000002
133,126.89299999999999
134,134.186
135,126.18299999999998
136,173.834
137,127.642
138,124.829
139,87.97800000000001
140,88.81200000000001
141,87.97800000000001
142,84.33100000000002
143,85.165
144,168.764
145,84.33100000000002
146,124.829
147,87.97800000000001
148,84.33100000000002
149,126.18299999999998
150,81.51800000000001
151,82.55000000000001
152,148.769
153,127.11099999999999
154,111.91800000000002
155,84.33100000000002
156,163.64100000000002
157,86.41499999999999
158,128.059
159,87.97800000000001
160,131.904
161,110.13700000000001
162,111.91800000000002
163,89.01
164,84.33100000000002
165,149.801
166,86.613
167,103.4
168,87.97800000000001
169,82.55000000000001
170,124.829
171,85.165
172,128.892
173,128.059
174,87.97800000000001
175,86.197
176,89.01
177,84.33100000000002
178,127.642
179,91.62500000000001
180,130.872
181,84.33100000000002
182,89.01
183,84.33100000000002
184,91.62500000000001
185,124.829
186,173.10899999999998
187,141.482
188,85.36300000000001
189,85.36300000000001
190,124.829
191,89.01
192,157.90900000000002
193,128.059
194,127.642
195,152.092
196,87.97800000000001
197,87.97800000000001
198,138.669
199,138.252
200,112.75200000000001
201,131.904
202,150.11200000000002
203,87.97800000000001
204,84.33100000000002
205,127.642
206,111.91800000000002
207,162.19200000000004
208,87.97800000000001
209,127.642
210,84.33100000000002
211,139.502
212,85.165
213,87.97800000000001
214,109.86000000000001
215,135.439
216,87.97800000000001
217,84.33100000000002
218,134.102
219,87.97800000000001
220,118.06499999999998
221,127.642
222,143.764
223,85.165
224,85.165
225,81.51800000000001
226,126.18299999999998
