Function,Memory Size,Max Memory Used,Duration,Billed Duration,RequestId
f1,3008,62,812.05,900,b6a380ea-ee12-457e-af63-6e3919bb1f2a
f1,3008,62,713.71,800,ff20d6e4-388f-4842-9d1e-c9aae94ca3fd
f1,3008,62,720.99,800,a6110dab-c8e7-491e-8075-6d46bb2ad026
f1,3008,62,711.73,800,56b4cb0a-4d1c-4912-8072-b3e0a634ec3a
f1,3008,62,798.65,800,175ce139-3afe-45a0-8101-db5870227043
f1,3008,62,812.03,900,3b797969-25d4-4a56-9143-2c0452185b41
f1,3008,62,722.16,800,486c84b8-a932-4dbd-8b56-38fe118934c3
f1,3008,62,808.95,900,1ef420be-ea27-4ad6-81c2-a6f3fa5efda5
f1,3008,62,806.45,900,60a5a072-cda1-4a05-be1e-1a729a3d3373
f1,3008,62,721.55,800,ced90182-5b19-44b1-8dee-6f66547a5e4b
f1,3008,62,715.82,800,ab236c6b-ceda-4d42-b28d-28e49740e343
f1,3008,62,807.54,900,4e1d8771-35f6-4726-b81b-e79c2425c09a
f1,3008,62,714.8,800,8cfbceb3-6c3b-4613-8fc6-c81451eee8ee
f1,3008,62,809.04,900,f9189536-e879-4c0b-8952-8a64cf3f0ad9
f1,3008,62,806.13,900,6cb456cd-a5fe-4004-9e9e-82df2c4ebca9
f1,3008,62,815.78,900,0321b187-9dfb-4c85-a6d8-5db35839c13a
f1,3008,62,811.83,900,a8163ad4-3a5a-4e03-9787-9c936032537c
f1,3008,62,808.51,900,c1b8709c-8552-441a-8e13-3ea50ff0dd58
f1,3008,62,721.89,800,d8c143ad-5ab9-49ec-a5cb-d36fc00a2b2c
f1,3008,62,718.87,800,59db2e27-415d-46f6-9b10-9f7e829857e5
f1,3008,62,814.02,900,34a2b88a-87d2-45e3-8ff5-ff1d4af2618f
f1,3008,62,814.11,900,2a42e940-ed50-412f-b150-ec42119dc79c
f1,3008,62,807.67,900,c5d829df-8a84-43d0-9c05-749aa953ecda
f1,3008,62,726.54,800,89d79cf8-7b9f-4285-876a-3f08edfb883c
f1,3008,62,717.86,800,c16f0fe2-834a-48bc-a2ee-1208526e97b3
f1,3008,62,812.58,900,cb27cb23-31eb-487f-965b-e58095b4ffa7
f1,3008,62,723.37,800,7cb731d7-8f6c-4efe-af64-26a5f634f9b7
f1,3008,62,718.23,800,28db0906-347f-433f-9ed5-0cfe9ebf8609
f1,3008,62,811.56,900,209da236-6568-4fcf-8936-8a891fa544d0
f1,3008,62,716.47,800,ad4e498c-8c13-4436-9efb-6152d37e999c
f1,3008,62,806.96,900,b043da7e-6891-4349-9c3d-a2a65f0142cd
f1,3008,62,724.65,800,e9ccd702-85cc-4ebf-bee5-ce9cd886fcc7
f1,3008,62,724.7,800,b57131dc-1283-4b8e-82bf-12096300fa1b
f1,3008,62,810.98,900,99a3931c-10fc-40c7-b25a-3848e5f99044
f1,3008,62,716.14,800,c1277ad3-c946-4c61-b66e-2d93b85749bf
f1,3008,62,722.14,800,da2c3966-c382-4850-b933-a8f680995617
f1,3008,62,719.12,800,fba1f4d9-49df-409d-ad4e-8bbbb72888bb
f1,3008,62,714.91,800,8be7274e-be81-48de-9bbf-03520a60a1e3
f1,3008,62,811.43,900,eb027d20-993c-45c2-a8ff-a77bd6f9070e
f1,3008,62,815.19,900,1ab96875-0788-41e3-a725-d14693a310a2
f1,3008,62,734.6,800,f4609b2c-9375-405f-a5af-c04c7865c13e
f1,3008,62,810.75,900,108a7e7f-fe21-4e46-b82f-30eee40fdf89
f1,3008,62,734.39,800,c3b1f2d4-f7ae-4984-b77a-55707fc9c25d
f1,3008,62,810.22,900,b1f4f950-7e1e-4500-bfc6-73b4d9bf4d4d
f1,3008,62,807.64,900,15bf8d83-a984-4cdb-accc-b7d4f4fbae00
f1,3008,62,812.76,900,ab6b57aa-6ca5-4f3e-b1ea-a034ca70e52e
f1,3008,62,811.43,900,875905dd-ddc1-4910-91eb-719ac81169aa
f1,3008,62,810.14,900,d889c8ad-13a7-46c3-9e6f-343acd65b1aa
f1,3008,62,722.08,800,205b38fe-3794-47b0-b531-14d855454b9f
f1,3008,62,806.84,900,0262aa16-b09a-4c58-a120-bb7549852061
f1,3008,62,812.69,900,11882152-3f39-4ccd-92ee-5d882a893641
f1,3008,62,820.69,900,e06b9cd1-dcd4-4cf7-8a1c-229fada446ce
f1,3008,62,729.82,800,d401bdf6-2ad6-4e47-99b6-5df99aeecfad
f1,3008,62,728.02,800,0ad972e5-12aa-4dcb-92ae-1284da5d1df0
f1,3008,62,714.23,800,36c5e4fd-b5f9-4fd8-8af5-805848f183c3
f1,3008,62,813.64,900,646a1b18-9d37-4488-aa86-43d255a54ab9
f1,3008,62,718.06,800,c7685cd3-6316-4e9a-a902-0c0d17236f38
f1,3008,62,726.42,800,d7309e72-cfc7-412a-aa6d-0eac7fdc6c96
f1,3008,62,718.39,800,3c67e25c-87be-4747-8f82-7a2c2b85e19c
f1,3008,62,811.96,900,bfde0e2b-5416-41b9-b755-6f0465c2d7bd
f1,3008,62,718.18,800,421693a8-ab4c-47d0-b83d-460ecdfce5ad
f1,3008,62,715.84,800,3a6727f4-2603-4958-bf82-c4e171e52535
f1,3008,62,720.16,800,9a3f83ed-fed5-4750-a0a2-29cc87c22b3d
f1,3008,62,809.75,900,8aa2f441-ac5a-406c-bb84-411f33c4591f
f1,3008,62,715.87,800,b8f796ed-26a2-436e-b752-8789d3a0b2df
f1,3008,62,813.44,900,c457068b-7405-4d8f-bfab-b479e79062aa
f1,3008,61,719.16,800,4820ec71-09f4-455a-9bce-4bc8abfad366
f1,3008,61,817.57,900,50b2a180-a473-41d5-9182-feb3be91c8dc
f1,3008,61,810.14,900,371f3312-dafc-4174-84c1-36b10022d6f6
f1,3008,61,810.9,900,4d923c52-2be3-4da2-9c96-fa93e5007c69
f1,3008,61,808.93,900,30329de5-c59c-4ee8-8866-f6c226eadcbb
f1,3008,61,716.51,800,2387662f-8265-4496-8353-23a394adb94c
f1,3008,61,801.35,900,d18f1eb3-da22-492b-abbc-7379d032e0b2
f1,3008,61,714.88,800,f366b1f9-9070-4292-9b70-2778d769a0c6
f1,3008,61,807.25,900,f0ebae5b-9f24-4b40-8dcf-0635b5ee794c
f1,3008,61,812.6,900,dff726e8-a5d3-4e12-bb56-8e75691e6685
f1,3008,61,809.9,900,fc2cca88-0e0a-4e6b-a9da-4ec9435351ae
f1,3008,61,812.45,900,1b228cf7-d8b4-471a-a3fc-cf3e34595a0d
f1,3008,61,813.14,900,bffa7c91-a8c2-4de9-9d43-743bfb3d530b
f1,3008,61,811.46,900,4ef2322c-89ef-4efd-bd24-034db5e18b23
f1,3008,61,810.02,900,04e7a907-94fc-4001-8057-55b2764dcede
f1,3008,61,815.6,900,f8d49cdd-e563-4bef-b9fa-f321c5136f9f
f1,3008,61,710.8,800,16dee3bc-c630-4c9a-9947-80446841aaca
f1,3008,61,812.35,900,e33d5fc1-eae5-431b-aebd-bae7c54d3429
f1,3008,61,811.68,900,23e56f99-5d0a-47c3-b4b3-932e226ca6c4
f1,3008,61,713.92,800,62a6c8f9-141b-4f0f-a9f8-8158584ad651
f1,3008,61,817.52,900,a270939d-a067-4722-8f4a-485810ea1300
f1,3008,61,719.16,800,22926d0f-ac03-40ae-ab10-34efd97807e5
f1,3008,61,813.34,900,0eb7efe7-f289-4d06-a14d-993ab7d22c06
f1,3008,61,714.58,800,628e8e05-a773-45d3-bd8f-0cd40e33d7d7
f1,3008,61,727.67,800,a12941af-358b-40a5-80d2-0a3ac872b00e
f1,3008,61,714.87,800,06cd15b5-c9ec-45de-a699-248be730b497
f1,3008,61,809.5,900,eb70c33d-a686-4c5a-a367-43018b0e569e
f1,3008,61,731.97,800,a9a43758-0a88-46fe-81f2-629deacd2226
f1,3008,61,708.03,800,bde8e747-8a50-4fc1-bf56-c73b5610dcf1
f1,3008,61,705.04,800,9d79c1cc-7059-44e9-b186-069607de457f
f1,3008,60,405.98,500,ba39c3cc-7441-4267-90fa-89120219aad3
f1,3008,60,405.75,500,1c5bc8cb-76ca-4cf6-a3e6-0a3c664c27e8
f1,3008,60,401.81,500,0f7081a8-23b0-4797-b202-a50e02e9f117
f1,3008,60,397.44,400,89b12195-bfc5-4d74-bac7-5fdec7db21a9
f1,2944,63,703.06,800,049dcfbd-a1df-44e6-84d7-f05c56ab8f82
f1,2944,63,699.85,700,8b7adf31-423d-4e31-8b3a-afb33ef9c927
f1,2944,63,705.09,800,ce47aaed-aca4-4d48-83ff-67a1b61df4f1
f1,2944,63,706.98,800,bb50d884-34bd-4142-ba0a-10d85afd0ff5
f1,2944,63,703.11,800,fb2ecdc6-d78d-4670-b32a-c2df6db9fa49
f1,2944,63,707.36,800,d1a31944-e405-4b3e-95a1-0763a484c6e6
